,night,zone_hours,requests,fulfilled,unfulfilled,mean_online_per_zone_hour,fulfilment_rate,request_weighted_eta_min,request_weighted_surge
39,2026-06-08,14,1064,311,753,11.571428571428571,0.29229323308270677,10.060789473684212,2.1269548872180453
40,2026-06-09,14,1086,327,759,12.214285714285714,0.3011049723756906,9.729189686924494,2.1434346224677716
41,2026-06-10,14,1076,382,694,14.071428571428571,0.3550185873605948,9.138754646840148,2.0133550185873603
42,2026-06-11,14,1142,374,768,14.071428571428571,0.3274956217162872,9.636050788091067,2.0667950963222417
43,2026-06-12,14,1182,347,835,13.928571428571429,0.29357021996615906,10.023849407783418,2.139881556683587
44,2026-06-13,14,1147,346,801,13.071428571428571,0.3016564952048823,9.669110723626854,2.08462074978204
45,2026-06-14,14,1001,358,643,13.571428571428571,0.35764235764235763,9.141688311688311,2.0263836163836166
46,2026-06-15,14,1029,331,698,13.0,0.3216715257531584,9.691797862001945,2.0608163265306123
47,2026-06-16,14,1096,316,780,12.0,0.28832116788321166,10.071167883211679,2.139507299270073
48,2026-06-17,14,1080,320,760,11.071428571428571,0.2962962962962963,9.751231481481481,2.1166574074074074
49,2026-06-18,14,1152,368,784,13.0,0.3194444444444444,9.661840277777777,2.1016059027777776
50,2026-06-19,14,1187,378,809,13.857142857142858,0.3184498736310025,9.762502106149958,2.073218197135636
51,2026-06-20,14,1114,343,771,12.571428571428571,0.30789946140035906,9.638904847396768,2.1106014362657093
52,2026-06-21,14,1047,309,738,10.642857142857142,0.29512893982808025,9.786504297994268,2.1308595988538683
53,2026-06-22,14,1049,382,667,14.0,0.36415633937082936,9.175710200190657,1.985262154432793
54,2026-06-23,14,1087,350,737,12.214285714285714,0.3219871205151794,9.46771849126035,2.053873045078197
55,2026-06-24,14,1020,325,695,12.285714285714286,0.31862745098039214,9.026588235294119,2.1065686274509803
56,2026-06-25,14,1211,343,868,12.5,0.2832369942196532,9.967043765483073,2.136019818331957
57,2026-06-26,14,1239,350,889,12.285714285714286,0.2824858757062147,9.585988700564972,2.1086521388216304
58,2026-06-27,14,1116,357,759,13.214285714285714,0.31989247311827956,9.635958781362007,2.1055824372759857
59,2026-06-28,14,1080,310,770,11.142857142857142,0.28703703703703703,9.969231481481481,2.1626574074074076
60,2026-06-29,14,1048,301,747,11.0,0.2872137404580153,9.327814885496183,2.1486641221374048
