captain_id,campaign_id,channel,sent_ts,delivered,clicked
CPT103397,CAMP_WA_002,whatsapp,2026-01-04 01:42:59.615379756,1,0
CPT115021,CAMP_WA_002,whatsapp,2026-01-03 18:42:15.370671775,1,0
CPT103928,CAMP_WA_002,whatsapp,2026-01-03 17:12:22.539768690,1,0
CPT122425,CAMP_WA_002,whatsapp,2026-01-04 06:58:26.279945178,1,1
CPT113968,CAMP_CALL_009,outbound_call,2026-01-03 02:13:04.568632883,1,0
CPT106306,CAMP_WA_002,whatsapp,2026-01-03 16:41:02.519700303,1,0
CPT106306,CAMP_CALL_009,outbound_call,2026-01-02 07:19:01.045362388,1,0
CPT123305,CAMP_WA_001,whatsapp,2026-01-03 10:14:33.501658668,1,0
CPT110483,CAMP_SMS_004,sms,2026-01-02 11:45:15.966566156,1,0
CPT118023,CAMP_WA_001,whatsapp,2026-01-02 08:29:49.108751815,0,0
CPT105466,CAMP_SMS_004,sms,2026-01-03 02:52:00.714180565,1,1
CPT120812,CAMP_WA_002,whatsapp,2026-01-04 14:57:14.094129831,1,1
CPT118479,CAMP_SMS_004,sms,2026-01-02 06:05:25.132564621,1,0
CPT109776,CAMP_WA_002,whatsapp,2026-01-04 08:44:59.362135160,1,0
CPT109776,CAMP_WA_001,whatsapp,2026-01-02 18:41:59.164964821,1,0
CPT105349,CAMP_WA_002,whatsapp,2026-01-03 17:44:21.763514227,1,1
CPT115765,CAMP_WA_002,whatsapp,2026-01-04 19:27:32.076462675,1,0
CPT109242,CAMP_WA_002,whatsapp,2026-01-04 10:14:28.376090185,1,0
CPT104234,CAMP_WA_002,whatsapp,2026-01-06 01:42:33.649533309,1,1
CPT117393,CAMP_WA_002,whatsapp,2026-01-03 11:00:38.831066310,1,1
CPT100006,CAMP_WA_002,whatsapp,2026-01-04 06:17:56.469688622,1,0
CPT113894,CAMP_WA_002,whatsapp,2026-01-04 03:50:45.599180210,1,1
CPT107399,CAMP_WA_002,whatsapp,2026-01-05 19:17:13.744996497,1,0
CPT115497,CAMP_SMS_004,sms,2026-01-02 10:44:02.788888742,1,0
CPT120845,CAMP_WA_001,whatsapp,2026-01-03 11:53:21.834134964,1,1
CPT103730,CAMP_WA_002,whatsapp,2026-01-05 04:43:02.434146939,1,1
CPT103730,CAMP_SMS_004,sms,2026-01-02 23:33:26.244603925,1,0
CPT109629,CAMP_WA_002,whatsapp,2026-01-07 06:27:18.538141941,1,0
CPT121627,CAMP_WA_002,whatsapp,2026-01-04 01:47:59.819490031,1,0
CPT121627,CAMP_SMS_004,sms,2026-01-02 18:08:05.179109823,1,1
CPT104495,CAMP_WA_002,whatsapp,2026-01-05 00:39:45.526767534,1,0
CPT104495,CAMP_SMS_004,sms,2026-01-04 00:16:52.215637465,1,0
CPT119837,CAMP_WA_001,whatsapp,2026-01-03 21:10:54.442338428,1,0
CPT104855,CAMP_WA_002,whatsapp,2026-01-05 13:52:49.324546145,1,1
CPT116831,CAMP_WA_001,whatsapp,2026-01-02 20:18:03.461452689,1,0
CPT109728,CAMP_SMS_004,sms,2026-01-04 04:20:20.709919101,1,0
CPT109496,CAMP_WA_002,whatsapp,2026-01-05 11:17:24.364287618,1,1
CPT121120,CAMP_WA_002,whatsapp,2026-01-05 05:48:20.160835756,1,0
CPT115644,CAMP_WA_002,whatsapp,2026-01-04 02:01:47.721481517,1,0
CPT121838,CAMP_WA_002,whatsapp,2026-01-04 06:04:10.098350045,1,0
CPT103916,CAMP_WA_002,whatsapp,2026-01-05 09:39:20.637560484,1,1
CPT103916,CAMP_WA_001,whatsapp,2026-01-04 01:18:51.031238618,1,0
CPT108072,CAMP_WA_002,whatsapp,2026-01-05 02:05:09.723132857,1,1
CPT121573,CAMP_WA_002,whatsapp,2026-01-04 02:48:31.987900104,1,1
CPT118733,CAMP_SMS_004,sms,2026-01-03 05:32:57.287151305,1,0
CPT124471,CAMP_WA_002,whatsapp,2026-01-06 00:31:16.720255474,0,0
CPT106570,CAMP_WA_001,whatsapp,2026-01-03 15:18:24.001967931,0,0
CPT116477,CAMP_WA_001,whatsapp,2026-01-03 06:33:22.412251095,1,1
CPT115347,CAMP_WA_002,whatsapp,2026-01-05 01:53:13.707487472,1,1
CPT115347,CAMP_WA_001,whatsapp,2026-01-03 14:56:35.547833439,0,0
CPT106655,CAMP_WA_002,whatsapp,2026-01-04 08:14:39.173360404,1,0
CPT107562,CAMP_CALL_009,outbound_call,2026-01-03 21:16:54.593853310,1,0
CPT101879,CAMP_WA_002,whatsapp,2026-01-04 11:21:55.217795891,1,0
CPT101879,CAMP_SMS_004,sms,2026-01-04 14:40:43.200950170,1,0
CPT110494,CAMP_WA_002,whatsapp,2026-01-04 10:14:52.525274010,1,1
CPT115213,CAMP_WA_002,whatsapp,2026-01-04 04:44:36.668143089,0,0
CPT109023,CAMP_SMS_004,sms,2026-01-03 15:32:55.917213006,1,0
CPT118467,CAMP_WA_002,whatsapp,2026-01-04 01:47:13.349022129,1,0
CPT113637,CAMP_WA_002,whatsapp,2026-01-04 16:45:19.717054597,1,0
CPT113637,CAMP_WA_001,whatsapp,2026-01-03 06:32:24.402500847,0,1
CPT107742,CAMP_SMS_004,sms,2026-01-03 21:29:29.841759598,1,0
CPT107899,CAMP_WA_002,whatsapp,2026-01-06 20:24:05.549512399,1,0
CPT100680,CAMP_WA_002,whatsapp,2026-01-04 14:41:44.166800207,1,0
CPT100680,CAMP_WA_001,whatsapp,2026-01-03 08:50:06.049322243,1,1
CPT106121,CAMP_WA_002,whatsapp,2026-01-04 04:10:20.360548126,1,0
CPT103276,CAMP_WA_002,whatsapp,2026-01-05 15:05:47.205280591,1,1
CPT108209,CAMP_WA_002,whatsapp,2026-01-03 18:24:59.680095188,1,0
CPT108209,CAMP_SMS_004,sms,2026-01-03 20:40:49.879878307,1,1
CPT105674,CAMP_WA_002,whatsapp,2026-01-05 06:41:41.510001755,1,0
CPT101759,CAMP_WA_002,whatsapp,2026-01-06 15:43:39.808484959,1,1
CPT122111,CAMP_CALL_009,outbound_call,2026-01-03 02:52:54.534294357,1,0
CPT103290,CAMP_WA_002,whatsapp,2026-01-04 20:33:09.536248690,1,1
CPT123113,CAMP_WA_002,whatsapp,2026-01-04 21:27:33.418698019,1,0
CPT111878,CAMP_WA_002,whatsapp,2026-01-04 16:54:55.551059355,1,1
CPT114082,CAMP_WA_002,whatsapp,2026-01-05 12:28:21.329367358,1,0
CPT108303,CAMP_CALL_009,outbound_call,2026-01-03 18:16:30.950883715,1,0
CPT107583,CAMP_SMS_004,sms,2026-01-03 14:10:21.017326710,1,1
CPT101592,CAMP_SMS_004,sms,2026-01-03 14:13:41.317123774,0,1
CPT102942,CAMP_WA_001,whatsapp,2026-01-04 12:38:14.839948882,0,0
CPT117186,CAMP_WA_002,whatsapp,2026-01-03 23:52:46.743215017,1,0
CPT117186,CAMP_WA_001,whatsapp,2026-01-03 01:47:40.205907262,1,0
CPT103465,CAMP_CALL_009,outbound_call,2026-01-03 10:42:48.346073244,1,0
CPT122011,CAMP_WA_002,whatsapp,2026-01-06 02:43:51.229210535,0,1
CPT105383,CAMP_WA_002,whatsapp,2026-01-04 07:21:50.912984804,1,1
CPT109233,CAMP_WA_002,whatsapp,2026-01-05 11:18:03.710968301,1,1
CPT100923,CAMP_WA_002,whatsapp,2026-01-05 22:05:06.615522462,1,1
CPT100923,CAMP_WA_001,whatsapp,2026-01-03 23:01:30.805322416,1,1
CPT122921,CAMP_WA_002,whatsapp,2026-01-04 22:23:56.784062792,1,0
CPT112318,CAMP_WA_002,whatsapp,2026-01-06 16:01:57.175356293,1,0
CPT112318,CAMP_WA_001,whatsapp,2026-01-03 19:46:01.346782618,1,0
CPT105764,CAMP_WA_002,whatsapp,2026-01-04 09:30:29.372925352,1,0
CPT105764,CAMP_WA_001,whatsapp,2026-01-03 12:10:21.370800826,1,0
CPT101793,CAMP_WA_002,whatsapp,2026-01-05 12:13:58.101454562,1,0
CPT114111,CAMP_WA_002,whatsapp,2026-01-05 14:26:25.581154888,1,0
CPT105918,CAMP_WA_002,whatsapp,2026-01-05 03:44:57.114414461,0,0
CPT105918,CAMP_SMS_004,sms,2026-01-03 16:46:42.227231440,1,0
CPT102032,CAMP_WA_002,whatsapp,2026-01-04 15:54:14.389055868,1,1
CPT121960,CAMP_CALL_009,outbound_call,2026-01-03 14:36:04.723084055,1,1
CPT110096,CAMP_SMS_004,sms,2026-01-03 18:23:34.599951133,1,0
CPT115968,CAMP_SMS_004,sms,2026-01-04 18:10:32.625487848,0,0
CPT105952,CAMP_CALL_009,outbound_call,2026-01-05 04:06:22.637032441,1,0
CPT115952,CAMP_SMS_004,sms,2026-01-04 07:07:48.331539070,1,0
CPT123614,CAMP_WA_001,whatsapp,2026-01-03 18:51:01.158294848,1,0
CPT104219,CAMP_WA_002,whatsapp,2026-01-05 05:17:15.468280071,1,0
CPT123973,CAMP_WA_002,whatsapp,2026-01-05 05:47:31.845615569,1,1
CPT117956,CAMP_WA_002,whatsapp,2026-01-07 15:41:00.758063546,1,0
CPT105091,CAMP_WA_002,whatsapp,2026-01-07 00:54:04.006524538,1,0
CPT121072,CAMP_WA_002,whatsapp,2026-01-06 08:57:29.870402282,1,0
CPT105404,CAMP_WA_001,whatsapp,2026-01-04 02:28:48.820063260,1,0
CPT107995,CAMP_WA_001,whatsapp,2026-01-04 20:13:09.604328870,1,0
CPT117259,CAMP_WA_002,whatsapp,2026-01-05 06:35:36.160533061,1,1
CPT117259,CAMP_SMS_004,sms,2026-01-04 17:26:49.371956022,1,1
CPT103230,CAMP_WA_002,whatsapp,2026-01-07 06:03:25.700655299,1,0
CPT100747,CAMP_WA_002,whatsapp,2026-01-05 21:41:20.183736180,1,1
CPT114903,CAMP_WA_002,whatsapp,2026-01-06 10:26:28.862198907,1,1
CPT114903,CAMP_CALL_009,outbound_call,2026-01-04 09:10:07.185713665,1,0
CPT105491,CAMP_SMS_004,sms,2026-01-04 00:41:53.055013641,1,0
CPT123453,CAMP_WA_002,whatsapp,2026-01-05 16:25:25.547447796,1,1
CPT104052,CAMP_WA_002,whatsapp,2026-01-04 22:25:35.012646178,1,0
CPT104100,CAMP_WA_002,whatsapp,2026-01-05 18:06:58.818730173,1,1
CPT104100,CAMP_WA_001,whatsapp,2026-01-04 04:21:07.556691643,1,1
CPT102508,CAMP_CALL_009,outbound_call,2026-01-05 00:42:59.183233856,1,0
CPT102995,CAMP_WA_001,whatsapp,2026-01-04 06:06:17.091990428,1,1
CPT101762,CAMP_WA_002,whatsapp,2026-01-04 22:21:56.487616389,1,0
CPT101762,CAMP_SMS_004,sms,2026-01-04 02:46:32.440640460,1,0
CPT109113,CAMP_WA_002,whatsapp,2026-01-07 14:44:38.324945929,1,0
CPT118656,CAMP_SMS_004,sms,2026-01-04 06:04:16.924695636,1,0
CPT100032,CAMP_WA_002,whatsapp,2026-01-05 15:01:19.521668480,1,1
CPT103055,CAMP_WA_002,whatsapp,2026-01-05 19:17:42.510290154,1,1
CPT102341,CAMP_WA_002,whatsapp,2026-01-06 04:31:07.298844967,0,0
CPT114765,CAMP_WA_002,whatsapp,2026-01-06 14:00:14.897155157,1,0
CPT114217,CAMP_WA_001,whatsapp,2026-01-05 03:06:18.297851968,1,0
CPT109172,CAMP_SMS_004,sms,2026-01-04 02:12:25.822299031,1,1
CPT122706,CAMP_WA_002,whatsapp,2026-01-05 22:34:35.463247362,1,0
CPT119726,CAMP_WA_002,whatsapp,2026-01-06 05:41:00.604051384,1,1
CPT101012,CAMP_WA_002,whatsapp,2026-01-05 06:53:30.931881539,1,0
CPT101667,CAMP_WA_002,whatsapp,2026-01-05 03:44:37.641584302,1,0
CPT109593,CAMP_WA_002,whatsapp,2026-01-06 09:31:16.361399580,1,0
CPT109593,CAMP_WA_001,whatsapp,2026-01-03 22:28:02.960743713,1,1
CPT120322,CAMP_SMS_004,sms,2026-01-04 21:08:20.274584078,1,0
CPT113925,CAMP_WA_002,whatsapp,2026-01-04 20:30:27.940237147,0,1
CPT120618,CAMP_WA_002,whatsapp,2026-01-05 13:38:46.202240243,1,1
CPT120618,CAMP_WA_001,whatsapp,2026-01-04 13:17:39.353843801,1,0
CPT105836,CAMP_WA_002,whatsapp,2026-01-05 09:53:25.882404363,1,1
CPT106737,CAMP_WA_002,whatsapp,2026-01-06 01:16:25.232566708,1,0
CPT108665,CAMP_WA_002,whatsapp,2026-01-06 11:58:41.194895519,1,1
CPT122376,CAMP_WA_002,whatsapp,2026-01-06 06:53:13.304338789,1,0
CPT113564,CAMP_WA_001,whatsapp,2026-01-04 13:01:25.563138067,1,0
CPT108973,CAMP_WA_002,whatsapp,2026-01-05 18:03:11.311654999,1,1
CPT109721,CAMP_WA_002,whatsapp,2026-01-05 10:06:04.409621011,1,1
CPT118012,CAMP_WA_002,whatsapp,2026-01-06 13:54:37.617501536,1,1
CPT118012,CAMP_CALL_009,outbound_call,2026-01-04 14:54:01.798687697,1,0
CPT111462,CAMP_WA_001,whatsapp,2026-01-04 22:51:43.651308558,1,0
CPT101470,CAMP_SMS_004,sms,2026-01-04 04:19:12.928410823,1,0
CPT113838,CAMP_SMS_004,sms,2026-01-05 04:52:32.313591123,1,0
CPT103940,CAMP_WA_002,whatsapp,2026-01-05 21:49:55.437825932,1,1
CPT114999,CAMP_CALL_009,outbound_call,2026-01-04 16:20:59.434311605,1,0
CPT115809,CAMP_WA_002,whatsapp,2026-01-05 15:12:56.430063455,1,1
CPT123307,CAMP_WA_001,whatsapp,2026-01-04 15:09:31.099335835,0,0
CPT104587,CAMP_WA_001,whatsapp,2026-01-05 09:25:03.404168408,1,1
CPT122012,CAMP_WA_002,whatsapp,2026-01-05 13:15:35.444932406,1,0
CPT122012,CAMP_WA_001,whatsapp,2026-01-05 07:42:44.069585620,1,0
CPT120752,CAMP_WA_002,whatsapp,2026-01-07 02:26:30.898611135,1,0
CPT120752,CAMP_SMS_004,sms,2026-01-06 05:47:58.911437942,1,0
CPT110972,CAMP_WA_001,whatsapp,2026-01-06 02:48:29.667280788,0,0
CPT115879,CAMP_WA_002,whatsapp,2026-01-06 19:06:55.236378602,1,1
CPT108484,CAMP_WA_002,whatsapp,2026-01-06 13:10:39.821096974,1,1
CPT111078,CAMP_WA_002,whatsapp,2026-01-06 10:11:53.788397321,1,1
CPT101683,CAMP_WA_001,whatsapp,2026-01-05 07:52:20.452898011,1,0
CPT112022,CAMP_SMS_004,sms,2026-01-05 17:15:27.959907838,1,0
CPT100906,CAMP_WA_002,whatsapp,2026-01-06 16:58:34.548793798,1,1
CPT117307,CAMP_WA_002,whatsapp,2026-01-06 12:41:37.898627625,1,0
CPT107459,CAMP_WA_002,whatsapp,2026-01-08 13:39:53.538881447,1,1
CPT109246,CAMP_WA_002,whatsapp,2026-01-05 16:02:30.173472391,1,1
CPT104912,CAMP_WA_002,whatsapp,2026-01-06 21:44:50.708987205,1,1
CPT119132,CAMP_WA_001,whatsapp,2026-01-05 00:47:13.268098725,1,0
CPT105521,CAMP_WA_002,whatsapp,2026-01-06 10:55:04.896330842,1,0
CPT105521,CAMP_SMS_004,sms,2026-01-04 20:59:24.912269956,1,0
CPT118553,CAMP_WA_002,whatsapp,2026-01-07 23:55:41.395712772,1,0
CPT100120,CAMP_WA_002,whatsapp,2026-01-06 09:47:39.804027401,1,1
CPT109329,CAMP_WA_002,whatsapp,2026-01-07 03:03:12.415686945,1,0
CPT110217,CAMP_WA_002,whatsapp,2026-01-05 10:29:09.413692467,1,0
CPT120720,CAMP_WA_002,whatsapp,2026-01-06 21:47:25.723009340,1,1
CPT120720,CAMP_CALL_009,outbound_call,2026-01-05 02:25:23.535885395,1,0
CPT116873,CAMP_WA_002,whatsapp,2026-01-07 11:26:43.814177910,1,0
CPT109544,CAMP_WA_002,whatsapp,2026-01-08 03:12:22.976217066,1,0
CPT107072,CAMP_CALL_009,outbound_call,2026-01-05 03:17:39.274313310,1,1
CPT123128,CAMP_WA_002,whatsapp,2026-01-05 06:44:29.785451608,1,0
CPT123128,CAMP_WA_001,whatsapp,2026-01-05 05:39:58.073486102,1,1
CPT113323,CAMP_WA_001,whatsapp,2026-01-05 06:27:07.529285357,1,0
CPT110280,CAMP_WA_002,whatsapp,2026-01-08 16:37:26.346569113,0,0
CPT101265,CAMP_WA_002,whatsapp,2026-01-06 23:01:51.243862820,1,0
CPT122563,CAMP_WA_002,whatsapp,2026-01-07 11:29:35.917439889,1,0
CPT121955,CAMP_WA_002,whatsapp,2026-01-09 01:17:31.993292811,1,0
CPT105643,CAMP_WA_002,whatsapp,2026-01-06 10:02:41.888773647,1,1
CPT108653,CAMP_WA_002,whatsapp,2026-01-07 05:24:52.310193301,1,1
CPT110063,CAMP_WA_001,whatsapp,2026-01-04 19:20:35.301618143,1,0
CPT102672,CAMP_WA_002,whatsapp,2026-01-06 19:45:45.482187396,1,0
CPT118484,CAMP_WA_002,whatsapp,2026-01-07 17:44:11.229983390,1,1
CPT121157,CAMP_CALL_009,outbound_call,2026-01-05 10:52:25.118458416,1,0
CPT104229,CAMP_WA_001,whatsapp,2026-01-05 05:48:20.191537534,0,0
CPT106130,CAMP_SMS_004,sms,2026-01-06 05:22:13.617593362,1,1
CPT108423,CAMP_WA_002,whatsapp,2026-01-06 18:47:55.584612780,1,1
CPT118888,CAMP_SMS_004,sms,2026-01-07 07:20:14.447150038,1,0
CPT100424,CAMP_WA_001,whatsapp,2026-01-05 08:34:33.089907234,1,0
CPT111108,CAMP_WA_002,whatsapp,2026-01-07 05:41:10.702645908,1,1
CPT111108,CAMP_SMS_004,sms,2026-01-06 21:06:47.420018413,1,1
CPT123408,CAMP_WA_001,whatsapp,2026-01-05 07:53:44.051816591,1,0
CPT106840,CAMP_SMS_004,sms,2026-01-05 02:36:31.757899152,1,0
CPT113307,CAMP_WA_002,whatsapp,2026-01-07 15:56:28.033215131,1,1
CPT107762,CAMP_WA_002,whatsapp,2026-01-07 15:14:37.978487827,0,1
CPT124359,CAMP_WA_001,whatsapp,2026-01-07 18:17:49.673793229,1,0
CPT103760,CAMP_WA_002,whatsapp,2026-01-07 05:17:49.593661321,1,0
CPT121263,CAMP_WA_002,whatsapp,2026-01-06 16:35:52.649313121,1,0
CPT102943,CAMP_SMS_004,sms,2026-01-05 17:22:50.191924969,1,1
CPT119122,CAMP_WA_002,whatsapp,2026-01-08 20:32:02.095716486,1,1
CPT121687,CAMP_WA_002,whatsapp,2026-01-08 10:08:16.300210092,1,0
CPT109670,CAMP_WA_002,whatsapp,2026-01-07 07:31:16.534618189,1,1
CPT112260,CAMP_WA_002,whatsapp,2026-01-07 06:52:43.456445422,1,0
CPT112260,CAMP_WA_001,whatsapp,2026-01-05 03:47:42.515661841,1,0
CPT104153,CAMP_WA_002,whatsapp,2026-01-08 02:14:59.245396885,1,0
CPT104153,CAMP_WA_001,whatsapp,2026-01-06 04:52:54.856032130,1,0
CPT123840,CAMP_SMS_004,sms,2026-01-05 14:23:11.528105583,1,1
CPT121644,CAMP_SMS_004,sms,2026-01-05 18:15:32.603488709,1,0
CPT123721,CAMP_WA_002,whatsapp,2026-01-08 22:26:54.003130462,0,0
CPT102396,CAMP_WA_002,whatsapp,2026-01-06 21:58:39.880772568,1,0
CPT102396,CAMP_WA_001,whatsapp,2026-01-07 22:17:57.991040977,1,0
CPT124595,CAMP_CALL_009,outbound_call,2026-01-06 21:59:50.948708993,1,0
CPT103497,CAMP_WA_002,whatsapp,2026-01-07 01:58:14.411378095,1,1
CPT103497,CAMP_SMS_004,sms,2026-01-05 23:14:35.131588176,1,0
CPT118714,CAMP_WA_002,whatsapp,2026-01-07 08:05:32.714543545,1,0
CPT118714,CAMP_WA_001,whatsapp,2026-01-07 03:47:05.500843052,1,0
CPT104879,CAMP_WA_002,whatsapp,2026-01-09 06:12:37.188003977,1,1
CPT115956,CAMP_WA_002,whatsapp,2026-01-08 00:36:49.063633106,0,0
CPT120968,CAMP_WA_001,whatsapp,2026-01-05 23:13:14.019902494,1,1
CPT114390,CAMP_WA_002,whatsapp,2026-01-06 21:31:48.987215131,1,0
CPT114390,CAMP_WA_001,whatsapp,2026-01-05 20:39:16.835766864,1,1
CPT106064,CAMP_WA_002,whatsapp,2026-01-08 13:57:45.985372854,1,0
CPT106064,CAMP_WA_001,whatsapp,2026-01-06 02:28:29.552391743,1,0
CPT110497,CAMP_WA_002,whatsapp,2026-01-08 03:35:47.501745149,1,1
CPT117554,CAMP_WA_002,whatsapp,2026-01-07 20:05:18.721481184,1,0
CPT117554,CAMP_WA_001,whatsapp,2026-01-05 22:01:06.207933312,1,0
CPT119324,CAMP_WA_001,whatsapp,2026-01-07 19:03:17.223969996,1,0
CPT101631,CAMP_WA_002,whatsapp,2026-01-07 20:50:53.298812961,1,0
CPT101631,CAMP_CALL_009,outbound_call,2026-01-05 17:37:53.788474276,1,0
CPT121380,CAMP_WA_001,whatsapp,2026-01-06 02:02:37.732499735,1,1
CPT103451,CAMP_WA_002,whatsapp,2026-01-07 10:50:11.927123802,0,1
CPT113949,CAMP_WA_002,whatsapp,2026-01-07 18:30:24.653316273,1,1
CPT119192,CAMP_WA_002,whatsapp,2026-01-07 17:42:43.232726099,1,0
CPT119192,CAMP_CALL_009,outbound_call,2026-01-06 06:38:43.198883182,1,0
CPT116741,CAMP_SMS_004,sms,2026-01-05 18:44:11.318421494,1,0
CPT109866,CAMP_WA_002,whatsapp,2026-01-08 13:04:00.238399479,0,1
CPT115495,CAMP_WA_002,whatsapp,2026-01-07 17:45:31.815513718,1,0
CPT114451,CAMP_WA_001,whatsapp,2026-01-06 04:11:02.781353684,1,0
CPT111782,CAMP_WA_002,whatsapp,2026-01-08 16:32:50.970886314,1,0
CPT120413,CAMP_WA_001,whatsapp,2026-01-08 16:41:56.263135419,1,0
CPT115650,CAMP_WA_002,whatsapp,2026-01-07 05:44:15.464744751,1,0
CPT121720,CAMP_WA_002,whatsapp,2026-01-07 06:13:23.176373042,1,1
CPT121720,CAMP_WA_001,whatsapp,2026-01-05 17:41:50.790656457,1,0
CPT115613,CAMP_WA_002,whatsapp,2026-01-06 15:28:03.190345350,1,0
CPT110162,CAMP_WA_002,whatsapp,2026-01-07 00:09:34.364037074,1,0
CPT110162,CAMP_CALL_009,outbound_call,2026-01-06 11:08:28.193340941,1,1
CPT113024,CAMP_CALL_009,outbound_call,2026-01-06 02:06:47.248173840,1,1
CPT120174,CAMP_CALL_009,outbound_call,2026-01-06 05:37:50.740965353,1,1
CPT120947,CAMP_SMS_004,sms,2026-01-06 08:27:05.344892395,1,0
CPT120213,CAMP_WA_002,whatsapp,2026-01-08 01:57:19.531144726,0,0
CPT112686,CAMP_SMS_004,sms,2026-01-06 14:59:48.498954356,1,0
CPT121365,CAMP_WA_001,whatsapp,2026-01-05 17:25:34.932382995,1,0
CPT107472,CAMP_WA_002,whatsapp,2026-01-06 22:23:41.416002530,1,1
CPT101387,CAMP_WA_001,whatsapp,2026-01-06 10:19:02.624421519,1,0
CPT102376,CAMP_SMS_004,sms,2026-01-06 12:04:29.744958191,1,0
