captain_id,signup_ts,city,vehicle_type,acquisition_channel,signup_zone_id,device_tier,app_language,age_band
CPT108728,2026-01-01 10:07:00,Delhi,ERickshaw,organic_app,DEL-Z06,mid,mr,35-44
CPT111180,2026-01-01 10:12:00,Pune,Cab,gc_telecalling,PUN-Z06,mid,hi,25-34
CPT104874,2026-01-01 10:23:00,Delhi,ERickshaw,organic_app,DEL-Z05,low,te,25-34
CPT112334,2026-01-01 10:29:00,Bangalore,ERickshaw,referral,BAN-Z13,mid,te,25-34
CPT100614,2026-01-01 10:32:00,Pune,Auto,organic_app,PUN-Z18,mid,en,45+
CPT121214,2026-01-01 11:09:00,Delhi,Auto,referral,DEL-Z09,low,te,35-44
CPT119518,2026-01-01 11:16:00,Delhi,Cab,referral,DEL-Z15,high,kn,35-44
CPT104764,2026-01-01 11:21:00,Pune,Auto,fos_field,PUN-Z10,mid,hi,35-44
CPT101207,2026-01-01 11:31:00,Hyderabad,ERickshaw,fos_field,HYD-Z13,mid,kn,35-44
CPT103242,2026-01-01 11:33:00,Delhi,Cab,gc_telecalling,DEL-Z08,low,te,45+
CPT122017,2026-01-01 11:35:00,Pune,Cab,organic_app,PUN-Z21,mid,en,18-24
CPT116706,2026-01-01 11:42:00,Bangalore,Cab,gc_telecalling,BAN-Z09,low,kn,25-34
CPT121842,2026-01-01 11:47:00,Delhi,Auto,organic_app,DEL-Z11,low,kn,25-34
CPT115555,2026-01-01 11:56:00,Pune,Auto,organic_app,PUN-Z22,low,hi,18-24
CPT124771,2026-01-01 11:59:00,Hyderabad,Cab,organic_app,HYD-Z16,high,hi,25-34
CPT123806,2026-01-01 12:24:00,Bangalore,Cab,referral,BAN-Z23,mid,kn,25-34
CPT103112,2026-01-01 12:31:00,Bangalore,Auto,paid_digital,BAN-Z17,mid,hi,35-44
CPT124911,2026-01-01 12:37:00,Pune,Auto,referral,PUN-Z16,mid,hi,25-34
CPT117151,2026-01-01 12:56:00,Delhi,ERickshaw,fos_field,DEL-Z15,low,mr,25-34
CPT114694,2026-01-01 13:29:00,Delhi,Auto,fos_field,DEL-Z15,high,mr,25-34
CPT105361,2026-01-01 13:33:00,Bangalore,Cab,referral,BAN-Z17,low,te,45+
CPT122754,2026-01-01 13:47:00,Hyderabad,Cab,fos_field,HYD-Z04,mid,mr,25-34
CPT119361,2026-01-01 13:56:00,Delhi,Auto,organic_app,DEL-Z21,low,mr,18-24
CPT106310,2026-01-01 14:09:00,Delhi,Cab,organic_app,DEL-Z09,mid,hi,25-34
CPT114983,2026-01-01 14:16:00,Delhi,Auto,organic_app,DEL-Z24,low,hi,18-24
CPT104354,2026-01-01 14:21:00,Hyderabad,Auto,referral,HYD-Z15,mid,mr,35-44
CPT124428,2026-01-01 14:29:00,Hyderabad,Auto,organic_app,HYD-Z08,mid,hi,18-24
CPT118169,2026-01-01 14:31:00,Delhi,ERickshaw,gc_telecalling,DEL-Z03,mid,kn,45+
CPT108086,2026-01-01 14:39:00,Hyderabad,Cab,organic_app,HYD-Z07,mid,kn,45+
CPT100865,2026-01-01 14:47:00,Bangalore,Cab,referral,BAN-Z17,low,kn,18-24
CPT121574,2026-01-01 14:57:00,Hyderabad,ERickshaw,gc_telecalling,HYD-Z18,mid,hi,18-24
CPT104246,2026-01-01 15:08:00,Hyderabad,Auto,organic_app,HYD-Z17,mid,te,35-44
CPT105732,2026-01-01 15:35:00,Hyderabad,ERickshaw,paid_digital,HYD-Z09,mid,en,18-24
CPT118244,2026-01-01 15:41:00,Pune,Auto,organic_app,PUN-Z14,mid,mr,25-34
CPT116214,2026-01-01 15:42:00,Delhi,Cab,fos_field,DEL-Z13,low,te,25-34
CPT111071,2026-01-01 15:55:00,Bangalore,Auto,fos_field,BAN-Z22,low,mr,25-34
CPT118384,2026-01-01 15:56:00,Hyderabad,Auto,organic_app,HYD-Z11,mid,kn,18-24
CPT111710,2026-01-01 15:58:00,Bangalore,Auto,organic_app,BAN-Z10,low,en,25-34
CPT105603,2026-01-01 15:58:00,Hyderabad,Cab,referral,HYD-Z14,low,hi,25-34
CPT112135,2026-01-01 16:00:00,Bangalore,Auto,organic_app,BAN-Z16,mid,mr,18-24
CPT113441,2026-01-01 16:09:00,Bangalore,Auto,fos_field,BAN-Z13,high,mr,18-24
CPT122638,2026-01-01 16:15:00,Hyderabad,Auto,fos_field,HYD-Z08,low,en,25-34
CPT121448,2026-01-01 16:16:00,Delhi,Cab,fos_field,DEL-Z15,mid,en,35-44
CPT103424,2026-01-01 16:19:00,Hyderabad,Cab,organic_app,HYD-Z05,low,te,25-34
CPT123958,2026-01-01 16:24:00,Hyderabad,ERickshaw,organic_app,HYD-Z14,mid,te,45+
CPT104054,2026-01-01 16:40:00,Delhi,ERickshaw,paid_digital,DEL-Z23,high,mr,25-34
CPT113494,2026-01-01 16:41:00,Delhi,Auto,fos_field,DEL-Z07,low,te,25-34
CPT108255,2026-01-01 16:43:00,Bangalore,Cab,organic_app,BAN-Z20,high,en,35-44
CPT113903,2026-01-01 16:45:00,Delhi,ERickshaw,fos_field,DEL-Z04,high,mr,18-24
CPT102544,2026-01-01 16:53:00,Delhi,Auto,organic_app,DEL-Z05,low,te,18-24
CPT101585,2026-01-01 16:56:00,Delhi,ERickshaw,paid_digital,DEL-Z01,mid,kn,25-34
CPT117717,2026-01-01 17:08:00,Delhi,Auto,paid_digital,DEL-Z14,low,en,45+
CPT124627,2026-01-01 17:08:00,Pune,ERickshaw,paid_digital,PUN-Z21,mid,hi,25-34
CPT102803,2026-01-01 17:24:00,Delhi,Auto,fos_field,DEL-Z20,high,hi,18-24
CPT113889,2026-01-01 17:32:00,Hyderabad,ERickshaw,organic_app,HYD-Z01,low,te,25-34
CPT115779,2026-01-01 17:33:00,Hyderabad,Cab,organic_app,HYD-Z11,low,mr,25-34
CPT112620,2026-01-01 17:35:00,Delhi,Cab,organic_app,DEL-Z22,mid,mr,25-34
CPT103397,2026-01-01 17:38:00,Pune,Auto,gc_telecalling,PUN-Z11,low,te,25-34
CPT115021,2026-01-01 17:46:00,Pune,Auto,organic_app,PUN-Z13,low,mr,35-44
CPT102749,2026-01-01 17:47:00,Pune,Auto,organic_app,PUN-Z03,high,te,25-34
CPT103928,2026-01-01 17:51:00,Delhi,Cab,fos_field,DEL-Z04,low,mr,18-24
CPT101520,2026-01-01 18:10:00,Hyderabad,Cab,fos_field,HYD-Z13,high,te,45+
CPT122425,2026-01-01 18:35:00,Hyderabad,Cab,fos_field,HYD-Z21,mid,en,45+
CPT113968,2026-01-01 18:39:00,Bangalore,Auto,gc_telecalling,BAN-Z07,mid,kn,35-44
CPT106306,2026-01-01 18:48:00,Bangalore,Auto,referral,BAN-Z07,mid,en,25-34
CPT114854,2026-01-01 18:53:00,Bangalore,Cab,organic_app,BAN-Z19,mid,mr,35-44
CPT107824,2026-01-01 18:55:00,Hyderabad,Auto,organic_app,HYD-Z14,low,kn,25-34
CPT123305,2026-01-01 19:01:00,Hyderabad,Auto,fos_field,HYD-Z06,mid,te,35-44
CPT110483,2026-01-01 19:40:00,Bangalore,ERickshaw,organic_app,BAN-Z19,mid,te,35-44
CPT118023,2026-01-01 19:57:00,Bangalore,Cab,organic_app,BAN-Z02,high,kn,25-34
CPT104960,2026-01-01 20:04:00,Hyderabad,Cab,organic_app,HYD-Z14,mid,hi,25-34
CPT105466,2026-01-01 20:16:00,Pune,Auto,gc_telecalling,PUN-Z01,low,te,45+
CPT120812,2026-01-01 20:20:00,Pune,Auto,organic_app,PUN-Z10,high,kn,35-44
CPT118479,2026-01-01 20:20:00,Hyderabad,Cab,paid_digital,HYD-Z22,high,kn,45+
CPT109776,2026-01-01 20:23:00,Pune,ERickshaw,gc_telecalling,PUN-Z21,mid,te,45+
CPT105349,2026-01-01 20:35:00,Bangalore,Cab,fos_field,BAN-Z23,low,hi,25-34
CPT110504,2026-01-01 20:38:00,Hyderabad,Auto,organic_app,HYD-Z11,low,kn,35-44
CPT115765,2026-01-01 20:43:00,Delhi,ERickshaw,fos_field,DEL-Z18,high,mr,25-34
CPT116547,2026-01-01 21:02:00,Pune,Auto,fos_field,PUN-Z08,low,kn,25-34
CPT117008,2026-01-01 21:09:00,Hyderabad,Cab,referral,HYD-Z04,low,mr,35-44
CPT109242,2026-01-01 21:19:00,Bangalore,Cab,referral,BAN-Z16,low,hi,18-24
CPT106452,2026-01-01 21:23:00,Bangalore,Auto,fos_field,BAN-Z03,mid,mr,35-44
CPT119558,2026-01-01 21:40:00,Delhi,Auto,organic_app,DEL-Z05,low,kn,35-44
CPT118211,2026-01-01 21:56:00,Bangalore,Cab,fos_field,BAN-Z09,mid,kn,25-34
CPT104234,2026-01-01 21:56:00,Delhi,Auto,organic_app,DEL-Z24,low,mr,25-34
CPT117393,2026-01-02 06:09:00,Delhi,Auto,organic_app,DEL-Z02,mid,kn,25-34
CPT117491,2026-01-02 06:09:00,Hyderabad,Cab,referral,HYD-Z11,low,hi,25-34
CPT100006,2026-01-02 06:15:00,Pune,Auto,referral,PUN-Z05,low,en,35-44
CPT113894,2026-01-02 06:15:00,Delhi,Auto,organic_app,DEL-Z17,low,mr,35-44
CPT107399,2026-01-02 06:25:00,Bangalore,Cab,organic_app,BAN-Z08,low,mr,45+
CPT115497,2026-01-02 06:34:00,Pune,Auto,referral,PUN-Z16,mid,en,35-44
CPT121430,2026-01-02 06:35:00,Bangalore,Cab,paid_digital,BAN-Z07,mid,kn,18-24
CPT120845,2026-01-02 07:05:00,Hyderabad,Cab,organic_app,HYD-Z06,low,en,45+
CPT105175,2026-01-02 07:18:00,Delhi,Cab,organic_app,DEL-Z20,low,te,25-34
CPT103730,2026-01-02 07:25:00,Pune,Cab,organic_app,PUN-Z14,mid,hi,35-44
CPT108347,2026-01-02 07:33:00,Pune,Auto,organic_app,PUN-Z22,mid,mr,18-24
CPT123063,2026-01-02 07:33:00,Pune,ERickshaw,fos_field,PUN-Z17,low,mr,45+
CPT102281,2026-01-02 07:52:00,Hyderabad,Cab,fos_field,HYD-Z21,mid,kn,18-24
CPT109629,2026-01-02 07:53:00,Pune,Auto,organic_app,PUN-Z04,low,en,18-24
CPT121627,2026-01-02 08:22:00,Pune,Auto,referral,PUN-Z01,mid,te,25-34
CPT104495,2026-01-02 08:37:00,Hyderabad,Auto,referral,HYD-Z24,low,en,25-34
CPT119837,2026-01-02 08:45:00,Delhi,ERickshaw,fos_field,DEL-Z18,low,en,18-24
CPT105626,2026-01-02 08:51:00,Bangalore,Cab,referral,BAN-Z09,mid,kn,25-34
CPT104855,2026-01-02 08:53:00,Hyderabad,Cab,organic_app,HYD-Z04,low,mr,25-34
CPT116831,2026-01-02 08:56:00,Pune,Cab,fos_field,PUN-Z02,mid,mr,25-34
CPT109728,2026-01-02 08:57:00,Pune,Cab,fos_field,PUN-Z02,mid,hi,18-24
CPT107888,2026-01-02 09:06:00,Pune,Auto,organic_app,PUN-Z14,low,en,18-24
CPT109496,2026-01-02 09:22:00,Pune,Auto,organic_app,PUN-Z10,mid,hi,25-34
CPT121120,2026-01-02 09:27:00,Bangalore,Cab,paid_digital,BAN-Z20,mid,te,45+
CPT123965,2026-01-02 09:28:00,Bangalore,ERickshaw,organic_app,BAN-Z14,low,te,25-34
CPT115644,2026-01-02 09:35:00,Bangalore,Auto,organic_app,BAN-Z13,low,te,25-34
CPT111476,2026-01-02 09:40:00,Delhi,ERickshaw,organic_app,DEL-Z11,high,kn,45+
CPT121838,2026-01-02 10:00:00,Hyderabad,Auto,gc_telecalling,HYD-Z11,low,kn,18-24
CPT103916,2026-01-02 10:02:00,Delhi,ERickshaw,organic_app,DEL-Z16,low,kn,35-44
CPT108072,2026-01-02 10:12:00,Hyderabad,Auto,gc_telecalling,HYD-Z18,mid,hi,45+
CPT123810,2026-01-02 10:23:00,Hyderabad,Auto,gc_telecalling,HYD-Z14,mid,kn,25-34
CPT122115,2026-01-02 10:26:00,Bangalore,Cab,organic_app,BAN-Z17,mid,mr,18-24
CPT115637,2026-01-02 10:36:00,Bangalore,Cab,fos_field,BAN-Z18,high,te,35-44
CPT121573,2026-01-02 10:38:00,Pune,Auto,organic_app,PUN-Z20,mid,kn,25-34
CPT118733,2026-01-02 10:42:00,Delhi,ERickshaw,fos_field,DEL-Z19,mid,en,35-44
CPT124471,2026-01-02 10:47:00,Delhi,Cab,fos_field,DEL-Z09,low,mr,35-44
CPT105584,2026-01-02 11:01:00,Bangalore,Auto,organic_app,BAN-Z13,mid,en,45+
CPT111257,2026-01-02 11:03:00,Delhi,Auto,organic_app,DEL-Z14,low,mr,25-34
CPT106570,2026-01-02 11:11:00,Pune,Cab,gc_telecalling,PUN-Z05,low,kn,25-34
CPT122016,2026-01-02 11:18:00,Bangalore,Cab,gc_telecalling,BAN-Z22,mid,hi,35-44
CPT116477,2026-01-02 11:29:00,Hyderabad,Cab,paid_digital,HYD-Z05,mid,mr,18-24
CPT115347,2026-01-02 11:33:00,Hyderabad,ERickshaw,paid_digital,HYD-Z20,low,mr,35-44
CPT106655,2026-01-02 11:37:00,Delhi,Auto,referral,DEL-Z08,high,hi,18-24
CPT106216,2026-01-02 11:41:00,Pune,Auto,referral,PUN-Z06,low,mr,35-44
CPT102236,2026-01-02 11:47:00,Bangalore,Cab,paid_digital,BAN-Z18,low,kn,25-34
CPT107562,2026-01-02 11:58:00,Delhi,ERickshaw,paid_digital,DEL-Z23,low,kn,35-44
CPT108557,2026-01-02 11:58:00,Pune,ERickshaw,fos_field,PUN-Z21,mid,kn,25-34
CPT101879,2026-01-02 12:03:00,Pune,Auto,referral,PUN-Z08,mid,mr,25-34
CPT110494,2026-01-02 12:09:00,Pune,ERickshaw,referral,PUN-Z15,low,en,18-24
CPT122322,2026-01-02 12:32:00,Delhi,ERickshaw,fos_field,DEL-Z11,low,te,25-34
CPT115213,2026-01-02 12:41:00,Delhi,ERickshaw,fos_field,DEL-Z04,low,en,35-44
CPT109023,2026-01-02 12:50:00,Pune,Auto,referral,PUN-Z12,low,en,18-24
CPT113985,2026-01-02 13:05:00,Hyderabad,Cab,referral,HYD-Z21,mid,hi,35-44
CPT118467,2026-01-02 13:10:00,Bangalore,Auto,gc_telecalling,BAN-Z24,mid,kn,25-34
CPT120645,2026-01-02 13:41:00,Delhi,Auto,paid_digital,DEL-Z20,low,te,18-24
CPT111221,2026-01-02 13:50:00,Pune,Auto,referral,PUN-Z05,high,kn,25-34
CPT113637,2026-01-02 13:56:00,Pune,Auto,organic_app,PUN-Z09,mid,mr,25-34
CPT116142,2026-01-02 13:59:00,Hyderabad,Auto,referral,HYD-Z06,low,en,25-34
CPT107742,2026-01-02 14:05:00,Pune,ERickshaw,fos_field,PUN-Z11,low,te,25-34
CPT107899,2026-01-02 14:09:00,Hyderabad,Auto,fos_field,HYD-Z15,high,hi,25-34
CPT103100,2026-01-02 14:10:00,Bangalore,Cab,fos_field,BAN-Z09,low,mr,18-24
CPT100680,2026-01-02 14:32:00,Hyderabad,Auto,organic_app,HYD-Z11,mid,mr,25-34
CPT106121,2026-01-02 14:40:00,Bangalore,Cab,referral,BAN-Z11,high,hi,25-34
CPT115180,2026-01-02 14:58:00,Hyderabad,ERickshaw,fos_field,HYD-Z06,mid,en,25-34
CPT103276,2026-01-02 15:12:00,Bangalore,Auto,organic_app,BAN-Z24,low,mr,18-24
CPT115743,2026-01-02 15:14:00,Delhi,Cab,fos_field,DEL-Z13,mid,en,35-44
CPT108209,2026-01-02 15:27:00,Delhi,ERickshaw,organic_app,DEL-Z11,mid,kn,25-34
CPT105674,2026-01-02 15:31:00,Hyderabad,Auto,fos_field,HYD-Z20,high,mr,45+
CPT101759,2026-01-02 15:45:00,Pune,Auto,fos_field,PUN-Z19,low,en,25-34
CPT117697,2026-01-02 15:45:00,Bangalore,Auto,paid_digital,BAN-Z20,low,te,35-44
CPT101235,2026-01-02 15:48:00,Hyderabad,Auto,referral,HYD-Z16,low,kn,25-34
CPT119887,2026-01-02 16:09:00,Pune,Auto,organic_app,PUN-Z18,low,mr,25-34
CPT105230,2026-01-02 16:11:00,Hyderabad,ERickshaw,referral,HYD-Z04,low,te,18-24
CPT102972,2026-01-02 17:17:00,Bangalore,Auto,paid_digital,BAN-Z11,mid,hi,45+
CPT119337,2026-01-02 17:20:00,Delhi,ERickshaw,organic_app,DEL-Z12,low,te,25-34
CPT124576,2026-01-02 17:31:00,Hyderabad,Cab,fos_field,HYD-Z03,mid,te,35-44
CPT122111,2026-01-02 17:47:00,Pune,Auto,gc_telecalling,PUN-Z13,low,en,25-34
CPT100877,2026-01-02 17:48:00,Hyderabad,Auto,fos_field,HYD-Z18,mid,kn,25-34
CPT103290,2026-01-02 17:50:00,Delhi,ERickshaw,organic_app,DEL-Z20,low,kn,35-44
CPT123113,2026-01-02 18:07:00,Delhi,ERickshaw,gc_telecalling,DEL-Z09,mid,en,18-24
CPT111878,2026-01-02 18:08:00,Delhi,ERickshaw,organic_app,DEL-Z05,mid,te,18-24
CPT100114,2026-01-02 18:19:00,Delhi,Cab,paid_digital,DEL-Z05,mid,kn,25-34
CPT114082,2026-01-02 18:24:00,Pune,ERickshaw,paid_digital,PUN-Z17,mid,mr,18-24
CPT108303,2026-01-02 18:35:00,Pune,Cab,paid_digital,PUN-Z22,low,hi,45+
CPT121312,2026-01-02 18:50:00,Pune,Auto,organic_app,PUN-Z01,high,kn,18-24
CPT107583,2026-01-02 18:53:00,Hyderabad,Cab,paid_digital,HYD-Z06,mid,mr,18-24
CPT112336,2026-01-02 19:07:00,Bangalore,Cab,organic_app,BAN-Z07,low,en,35-44
CPT101592,2026-01-02 19:12:00,Delhi,Cab,fos_field,DEL-Z12,low,kn,25-34
CPT107395,2026-01-02 19:18:00,Hyderabad,Cab,referral,HYD-Z11,mid,kn,45+
CPT120594,2026-01-02 19:28:00,Hyderabad,Cab,organic_app,HYD-Z11,mid,mr,35-44
CPT102942,2026-01-02 19:33:00,Delhi,ERickshaw,organic_app,DEL-Z03,low,hi,45+
CPT109370,2026-01-02 19:36:00,Delhi,Auto,fos_field,DEL-Z24,mid,hi,18-24
CPT117186,2026-01-02 19:40:00,Hyderabad,Auto,organic_app,HYD-Z20,mid,en,35-44
CPT103465,2026-01-02 19:53:00,Hyderabad,Cab,organic_app,HYD-Z03,low,kn,25-34
CPT122011,2026-01-02 20:14:00,Pune,Auto,organic_app,PUN-Z06,low,en,25-34
CPT120100,2026-01-02 20:16:00,Hyderabad,Auto,fos_field,HYD-Z01,mid,te,25-34
CPT105383,2026-01-02 20:18:00,Pune,Auto,paid_digital,PUN-Z20,mid,mr,35-44
CPT109233,2026-01-02 20:18:00,Hyderabad,Auto,gc_telecalling,HYD-Z24,mid,te,18-24
CPT112369,2026-01-02 20:28:00,Hyderabad,Cab,fos_field,HYD-Z12,low,kn,25-34
CPT115233,2026-01-02 20:46:00,Bangalore,Auto,referral,BAN-Z05,low,mr,25-34
CPT100923,2026-01-02 20:47:00,Hyderabad,Auto,fos_field,HYD-Z12,mid,kn,25-34
CPT122921,2026-01-02 20:49:00,Hyderabad,Auto,organic_app,HYD-Z11,mid,hi,25-34
CPT112318,2026-01-02 21:00:00,Bangalore,Cab,referral,BAN-Z15,low,en,35-44
CPT105945,2026-01-02 21:04:00,Delhi,ERickshaw,organic_app,DEL-Z07,mid,mr,35-44
CPT111088,2026-01-02 21:06:00,Pune,Auto,fos_field,PUN-Z05,mid,kn,25-34
CPT107578,2026-01-02 21:07:00,Hyderabad,ERickshaw,organic_app,HYD-Z23,mid,mr,25-34
CPT106989,2026-01-02 21:08:00,Delhi,ERickshaw,fos_field,DEL-Z18,high,kn,25-34
CPT105764,2026-01-02 21:16:00,Delhi,Cab,fos_field,DEL-Z01,mid,kn,35-44
CPT101096,2026-01-02 21:39:00,Pune,Auto,gc_telecalling,PUN-Z01,low,mr,18-24
CPT101793,2026-01-02 21:45:00,Hyderabad,Cab,referral,HYD-Z03,mid,kn,18-24
CPT105796,2026-01-02 21:49:00,Bangalore,Cab,gc_telecalling,BAN-Z12,low,kn,25-34
CPT118861,2026-01-02 21:54:00,Pune,Cab,referral,PUN-Z24,low,hi,25-34
CPT114111,2026-01-03 06:06:00,Bangalore,Auto,fos_field,BAN-Z02,high,en,25-34
CPT105918,2026-01-03 06:09:00,Delhi,Auto,organic_app,DEL-Z14,mid,en,35-44
CPT102032,2026-01-03 06:37:00,Delhi,ERickshaw,referral,DEL-Z22,mid,hi,45+
CPT124055,2026-01-03 06:39:00,Delhi,Cab,fos_field,DEL-Z09,mid,en,25-34
CPT106150,2026-01-03 06:40:00,Hyderabad,Cab,referral,HYD-Z24,mid,en,25-34
CPT121960,2026-01-03 06:56:00,Hyderabad,Cab,fos_field,HYD-Z19,low,mr,18-24
CPT110096,2026-01-03 07:34:00,Delhi,ERickshaw,organic_app,DEL-Z05,low,te,45+
CPT109517,2026-01-03 07:34:00,Pune,ERickshaw,paid_digital,PUN-Z09,mid,mr,25-34
CPT115968,2026-01-03 08:27:00,Delhi,Cab,gc_telecalling,DEL-Z15,low,te,25-34
CPT114311,2026-01-03 08:29:00,Delhi,ERickshaw,fos_field,DEL-Z11,low,hi,25-34
CPT101135,2026-01-03 09:13:00,Delhi,Auto,gc_telecalling,DEL-Z19,low,kn,35-44
CPT105952,2026-01-03 09:16:00,Hyderabad,Auto,referral,HYD-Z05,low,te,18-24
CPT115952,2026-01-03 09:17:00,Bangalore,Cab,organic_app,BAN-Z18,low,en,18-24
CPT123614,2026-01-03 09:21:00,Bangalore,Auto,paid_digital,BAN-Z20,mid,hi,18-24
CPT115833,2026-01-03 09:34:00,Delhi,Auto,fos_field,DEL-Z20,mid,hi,25-34
CPT104219,2026-01-03 09:47:00,Pune,Auto,referral,PUN-Z08,low,te,25-34
CPT123973,2026-01-03 09:53:00,Bangalore,ERickshaw,fos_field,BAN-Z07,mid,kn,18-24
CPT106468,2026-01-03 10:01:00,Delhi,ERickshaw,referral,DEL-Z02,low,te,35-44
CPT113666,2026-01-03 10:12:00,Pune,Auto,paid_digital,PUN-Z22,mid,en,45+
CPT110417,2026-01-03 10:22:00,Hyderabad,Cab,organic_app,HYD-Z08,low,hi,35-44
CPT117956,2026-01-03 10:28:00,Hyderabad,Cab,fos_field,HYD-Z09,low,en,25-34
CPT120238,2026-01-03 10:36:00,Hyderabad,ERickshaw,referral,HYD-Z02,low,en,45+
CPT105091,2026-01-03 10:40:00,Pune,Cab,organic_app,PUN-Z20,low,mr,35-44
CPT121072,2026-01-03 10:46:00,Pune,Cab,organic_app,PUN-Z15,mid,hi,25-34
CPT105404,2026-01-03 10:53:00,Hyderabad,ERickshaw,organic_app,HYD-Z16,low,hi,25-34
CPT119612,2026-01-03 11:03:00,Pune,Auto,organic_app,PUN-Z03,high,te,35-44
CPT123143,2026-01-03 11:09:00,Pune,Auto,referral,PUN-Z04,low,te,25-34
CPT107995,2026-01-03 11:13:00,Hyderabad,Auto,organic_app,HYD-Z06,mid,en,35-44
CPT108575,2026-01-03 11:35:00,Pune,Auto,gc_telecalling,PUN-Z01,mid,kn,35-44
CPT117259,2026-01-03 11:40:00,Bangalore,Cab,fos_field,BAN-Z08,low,kn,35-44
CPT103230,2026-01-03 11:41:00,Pune,Cab,gc_telecalling,PUN-Z06,mid,en,18-24
CPT100747,2026-01-03 11:47:00,Pune,Auto,organic_app,PUN-Z04,low,hi,45+
CPT114903,2026-01-03 11:50:00,Delhi,ERickshaw,referral,DEL-Z24,mid,mr,35-44
CPT105491,2026-01-03 12:26:00,Hyderabad,ERickshaw,referral,HYD-Z24,mid,kn,25-34
CPT123453,2026-01-03 12:44:00,Delhi,ERickshaw,organic_app,DEL-Z23,low,kn,35-44
CPT104052,2026-01-03 13:02:00,Bangalore,Cab,fos_field,BAN-Z02,high,en,35-44
CPT104100,2026-01-03 13:05:00,Pune,Auto,fos_field,PUN-Z06,mid,kn,25-34
CPT110507,2026-01-03 13:06:00,Delhi,ERickshaw,fos_field,DEL-Z24,mid,kn,25-34
CPT102508,2026-01-03 13:12:00,Delhi,Auto,fos_field,DEL-Z02,low,en,45+
CPT120546,2026-01-03 13:12:00,Hyderabad,Cab,paid_digital,HYD-Z09,low,te,35-44
CPT115936,2026-01-03 13:16:00,Hyderabad,Auto,referral,HYD-Z09,low,hi,25-34
CPT111427,2026-01-03 13:35:00,Bangalore,Cab,organic_app,BAN-Z21,mid,en,18-24
CPT102995,2026-01-03 13:46:00,Delhi,ERickshaw,organic_app,DEL-Z21,mid,kn,35-44
CPT124765,2026-01-03 13:47:00,Pune,ERickshaw,organic_app,PUN-Z16,mid,mr,35-44
CPT115822,2026-01-03 13:57:00,Hyderabad,Cab,organic_app,HYD-Z11,low,en,25-34
CPT118564,2026-01-03 14:14:00,Hyderabad,Cab,fos_field,HYD-Z18,low,te,18-24
CPT101762,2026-01-03 14:23:00,Hyderabad,Cab,organic_app,HYD-Z14,mid,te,35-44
CPT109113,2026-01-03 14:41:00,Hyderabad,Cab,fos_field,HYD-Z02,high,mr,25-34
CPT107313,2026-01-03 14:45:00,Pune,ERickshaw,fos_field,PUN-Z13,mid,kn,35-44
CPT118656,2026-01-03 15:06:00,Bangalore,Auto,referral,BAN-Z11,high,hi,25-34
CPT100032,2026-01-03 15:19:00,Hyderabad,Cab,organic_app,HYD-Z10,low,mr,18-24
