captain_id,decision_ts,final_status,last_stage_reached,docs_cleared
CPT113894,,dropped_in_docs,PERMIT,3
CPT107399,2026-01-10 16:30:18.772030273,rejected,doc_authenticity_flag,6
CPT115497,,dropped_in_docs,RC,1
CPT121430,,dropped_in_docs,DL,0
CPT120845,2026-01-09 10:58:01.773583248,rejected,doc_authenticity_flag,6
CPT105175,,dropped_in_docs,RC,1
CPT103730,,dropped_in_docs,PERMIT,3
CPT108347,,dropped_in_docs,RC,1
CPT123063,,dropped_in_docs,RC,1
CPT102281,2026-01-11 20:28:47.026487964,rejected,background_check_failed,6
CPT109629,,dropped_in_docs,FITNESS,4
CPT121627,,dropped_in_docs,PERMIT,3
CPT104495,,dropped_in_docs,PERMIT,3
CPT119837,,dropped_in_docs,PERMIT,3
CPT105626,,dropped_in_docs,INSURANCE,5
CPT104855,,dropped_in_docs,FITNESS,4
CPT116831,2026-01-06 22:24:34.813774911,approved,,6
CPT109728,,dropped_in_docs,INSURANCE,5
CPT107888,,dropped_in_docs,INSURANCE,5
CPT109496,,dropped_in_docs,INSURANCE,5
CPT121120,,dropped_in_docs,INSURANCE,5
CPT123965,,dropped_in_docs,PERMIT,3
CPT115644,,dropped_in_docs,FITNESS,4
CPT111476,,dropped_in_docs,PERMIT,3
CPT121838,,dropped_in_docs,INSURANCE,5
CPT103916,,dropped_in_docs,FITNESS,4
CPT108072,,dropped_in_docs,INSURANCE,5
CPT123810,,dropped_in_docs,RC,1
CPT122115,,dropped_in_docs,RC,1
CPT115637,,dropped_in_docs,INSURANCE,5
CPT121573,,dropped_in_docs,PERMIT,3
CPT118733,,dropped_in_docs,RC,1
CPT124471,,dropped_in_docs,INSURANCE,5
CPT105584,2026-01-09 06:52:15.998839528,approved,,6
CPT111257,,dropped_in_docs,RC,1
CPT106570,,dropped_in_docs,RC,1
CPT122016,,dropped_in_docs,FITNESS,4
CPT116477,,dropped_in_docs,RC,1
CPT115347,2026-01-10 02:11:24.337482417,approved,,5
CPT106655,,dropped_in_docs,INSURANCE,5
CPT106216,,dropped_in_docs,AADHAAR,2
CPT102236,,dropped_in_docs,DL,0
CPT107562,,dropped_in_docs,DL,0
CPT108557,,dropped_in_docs,RC,1
CPT101879,,dropped_in_docs,AADHAAR,2
CPT110494,,dropped_in_docs,PERMIT,3
CPT122322,,dropped_in_docs,RC,1
CPT115213,2026-01-06 19:14:57.648967333,approved,,5
CPT109023,,dropped_in_docs,RC,1
CPT113985,,dropped_in_docs,RC,1
CPT118467,2026-01-07 18:52:04.324941162,approved,,6
CPT120645,,dropped_in_docs,FITNESS,4
CPT111221,,dropped_in_docs,INSURANCE,5
CPT113637,2026-01-08 08:22:32.974270892,approved,,6
CPT116142,,dropped_in_docs,RC,1
CPT107742,,dropped_in_docs,PERMIT,3
CPT107899,,dropped_in_docs,PERMIT,3
CPT103100,,dropped_in_docs,DL,0
CPT100680,,dropped_in_docs,INSURANCE,5
CPT106121,,dropped_in_docs,PERMIT,3
CPT115180,2026-01-07 17:49:14.390041133,approved,,5
CPT103276,,dropped_in_docs,AADHAAR,2
CPT115743,,dropped_in_docs,RC,1
CPT108209,2026-01-08 17:53:35.507831258,approved,,5
CPT105674,2026-01-08 07:51:20.711549150,approved,,6
CPT101759,,dropped_in_docs,INSURANCE,5
CPT117697,,dropped_in_docs,DL,0
CPT101235,2026-01-08 18:44:32.659663529,approved,,6
CPT119887,,dropped_in_docs,DL,0
CPT105230,,dropped_in_docs,RC,1
CPT102972,,dropped_in_docs,RC,1
CPT119337,2026-01-10 01:35:33.473059263,approved,,5
CPT124576,,dropped_in_docs,RC,1
CPT122111,,dropped_in_docs,INSURANCE,5
CPT100877,2026-01-08 12:11:20.168869415,approved,,6
CPT103290,2026-01-10 20:42:10.234261842,approved,,5
CPT123113,,dropped_in_docs,FITNESS,4
CPT111878,,dropped_in_docs,AADHAAR,2
CPT100114,,dropped_in_docs,AADHAAR,2
CPT114082,2026-01-08 12:15:09.040170113,approved,,5
CPT108303,,dropped_in_docs,PERMIT,3
CPT121312,2026-01-06 19:43:54.485087463,approved,,6
CPT107583,,dropped_in_docs,PERMIT,3
CPT112336,,dropped_in_docs,AADHAAR,2
CPT101592,,dropped_in_docs,DL,0
CPT107395,,dropped_in_docs,PERMIT,3
CPT120594,,dropped_in_docs,RC,1
CPT102942,,dropped_in_docs,RC,1
CPT109370,2026-01-10 21:07:11.446111227,approved,,6
CPT117186,,dropped_in_docs,FITNESS,4
CPT103465,2026-01-09 21:53:52.386273833,approved,,6
CPT122011,,dropped_in_docs,AADHAAR,2
CPT120100,2026-01-11 14:16:28.020599864,approved,,6
CPT105383,,dropped_in_docs,INSURANCE,5
CPT109233,,dropped_in_docs,INSURANCE,5
CPT112369,,dropped_in_docs,PERMIT,3
CPT115233,,dropped_in_docs,RC,1
CPT100923,2026-01-12 19:00:25.192901154,approved,,6
CPT122921,2026-01-09 03:31:03.576967780,rejected,doc_authenticity_flag,6
CPT112318,,dropped_in_docs,PERMIT,3
CPT105945,,dropped_in_docs,AADHAAR,2
CPT111088,,dropped_in_docs,FITNESS,4
CPT107578,,dropped_in_docs,RC,1
CPT106989,,dropped_in_docs,FITNESS,4
CPT105764,2026-01-07 16:51:56.097075517,approved,,6
CPT101096,,dropped_in_docs,RC,1
CPT101793,,dropped_in_docs,FITNESS,4
CPT105796,,dropped_in_docs,RC,1
CPT118861,,dropped_in_docs,RC,1
CPT114111,2026-01-09 14:12:53.395804799,approved,,6
CPT105918,,dropped_in_docs,AADHAAR,2
CPT102032,2026-01-11 02:15:33.805992726,approved,,5
CPT124055,2026-01-10 13:48:32.028604915,approved,,6
CPT106150,,dropped_in_docs,PERMIT,3
CPT121960,,dropped_in_docs,PERMIT,3
CPT110096,,dropped_in_docs,RC,1
CPT109517,2026-01-08 06:38:36.844105006,approved,,5
CPT115968,,dropped_in_docs,DL,0
CPT114311,,dropped_in_docs,RC,1
CPT101135,,dropped_in_docs,RC,1
CPT105952,,dropped_in_docs,RC,1
CPT115952,,dropped_in_docs,INSURANCE,5
CPT123614,,dropped_in_docs,PERMIT,3
CPT115833,,dropped_in_docs,PERMIT,3
CPT104219,,dropped_in_docs,INSURANCE,5
CPT123973,,dropped_in_docs,PERMIT,3
CPT106468,,dropped_in_docs,RC,1
CPT113666,,dropped_in_docs,PERMIT,3
CPT110417,,dropped_in_docs,DL,0
CPT117956,,dropped_in_docs,INSURANCE,5
CPT120238,,dropped_in_docs,DL,0
CPT105091,,dropped_in_docs,PERMIT,3
CPT121072,,dropped_in_docs,FITNESS,4
CPT105404,,dropped_in_docs,DL,0
CPT119612,2026-01-08 14:26:21.609514130,approved,,6
CPT123143,,dropped_in_docs,RC,1
CPT107995,,dropped_in_docs,RC,1
CPT108575,,dropped_in_docs,RC,1
CPT117259,,dropped_in_docs,AADHAAR,2
CPT103230,,dropped_in_docs,INSURANCE,5
CPT100747,,dropped_in_docs,PERMIT,3
CPT114903,,dropped_in_docs,FITNESS,4
CPT105491,,dropped_in_docs,FITNESS,4
CPT123453,2026-01-09 19:49:23.843760750,approved,,5
CPT104052,,dropped_in_docs,PERMIT,3
CPT104100,,dropped_in_docs,PERMIT,3
CPT110507,,dropped_in_docs,PERMIT,3
CPT102508,,dropped_in_docs,FITNESS,4
CPT120546,,dropped_in_docs,DL,0
CPT115936,,dropped_in_docs,RC,1
CPT111427,,dropped_in_docs,AADHAAR,2
CPT102995,,dropped_in_docs,DL,0
CPT124765,,dropped_in_docs,DL,0
CPT115822,,dropped_in_docs,RC,1
CPT118564,,dropped_in_docs,RC,1
CPT101762,,dropped_in_docs,AADHAAR,2
CPT109113,,dropped_in_docs,INSURANCE,5
CPT107313,,dropped_in_docs,FITNESS,4
CPT118656,2026-01-11 09:30:16.300187425,approved,,6
CPT100032,,dropped_in_docs,AADHAAR,2
CPT121649,2026-01-08 13:00:50.643725259,approved,,6
CPT115676,,dropped_in_docs,INSURANCE,5
CPT108988,2026-01-11 06:50:43.472638479,approved,,5
CPT103055,,dropped_in_docs,AADHAAR,2
CPT110128,,dropped_in_docs,RC,1
CPT112428,,dropped_in_docs,RC,1
CPT102341,2026-01-09 13:55:14.827056758,rejected,background_check_failed,6
CPT114765,,dropped_in_docs,INSURANCE,5
CPT114217,,dropped_in_docs,RC,1
CPT109172,,dropped_in_docs,DL,0
CPT103255,,dropped_in_docs,RC,1
CPT122706,,dropped_in_docs,PERMIT,3
CPT113655,,dropped_in_docs,DL,0
CPT119726,2026-01-09 12:22:53.755728343,approved,,5
CPT114356,,dropped_in_docs,AADHAAR,2
CPT101012,2026-01-13 05:33:42.578758984,approved,,6
CPT101667,,dropped_in_docs,INSURANCE,5
CPT108190,,dropped_in_docs,DL,0
CPT109593,2026-01-11 18:08:51.771642605,approved,,6
CPT120322,,dropped_in_docs,FITNESS,4
CPT113925,,dropped_in_docs,AADHAAR,2
CPT120618,2026-01-12 01:36:23.110671220,approved,,6
CPT121087,,dropped_in_docs,AADHAAR,2
CPT109620,,dropped_in_docs,RC,1
CPT111006,,dropped_in_docs,DL,0
CPT105836,,dropped_in_docs,INSURANCE,5
CPT103534,,dropped_in_docs,RC,1
CPT117680,,dropped_in_docs,AADHAAR,2
CPT108329,,dropped_in_docs,DL,0
CPT106737,,dropped_in_docs,INSURANCE,5
CPT108665,,dropped_in_docs,FITNESS,4
CPT122296,,dropped_in_docs,DL,0
CPT122376,,dropped_in_docs,FITNESS,4
CPT106823,,dropped_in_docs,DL,0
CPT113564,,dropped_in_docs,PERMIT,3
CPT109996,,dropped_in_docs,RC,1
CPT108973,2026-01-09 20:23:41.588411690,approved,,6
CPT109721,2026-01-11 03:14:47.558135441,approved,,6
CPT118012,2026-01-10 20:13:42.217666659,approved,,6
CPT111462,,dropped_in_docs,DL,0
CPT104547,,dropped_in_docs,FITNESS,4
CPT118635,,dropped_in_docs,DL,0
CPT101470,,dropped_in_docs,FITNESS,4
CPT113838,,dropped_in_docs,FITNESS,4
CPT103940,2026-01-08 20:39:09.817874410,approved,,5
CPT105226,,dropped_in_docs,RC,1
CPT103140,,dropped_in_docs,RC,1
CPT119062,,dropped_in_docs,RC,1
CPT114999,,dropped_in_docs,RC,1
CPT115809,,dropped_in_docs,FITNESS,4
CPT123307,,dropped_in_docs,RC,1
CPT103921,,dropped_in_docs,RC,1
CPT104587,,dropped_in_docs,DL,0
CPT112119,,dropped_in_docs,RC,1
CPT122012,,dropped_in_docs,INSURANCE,5
CPT107713,,dropped_in_docs,RC,1
CPT115475,2026-01-10 13:31:36.397929174,approved,,5
CPT106381,,dropped_in_docs,RC,1
CPT120752,2026-01-11 17:58:07.735074258,approved,,6
CPT117998,,dropped_in_docs,AADHAAR,2
CPT110972,,dropped_in_docs,RC,1
CPT115988,,dropped_in_docs,DL,0
CPT122442,,dropped_in_docs,PERMIT,3
CPT117706,,dropped_in_docs,DL,0
CPT115879,,dropped_in_docs,PERMIT,3
CPT115934,2026-01-10 09:17:04.849161915,approved,,6
CPT108484,2026-01-09 23:00:20.446283202,approved,,6
CPT111078,,dropped_in_docs,FITNESS,4
CPT101683,,dropped_in_docs,RC,1
CPT112022,,dropped_in_docs,RC,1
CPT100906,,dropped_in_docs,FITNESS,4
CPT117307,,dropped_in_docs,INSURANCE,5
CPT124337,,dropped_in_docs,DL,0
CPT107459,,dropped_in_docs,FITNESS,4
CPT109246,,dropped_in_docs,PERMIT,3
CPT119218,,dropped_in_docs,PERMIT,3
CPT104912,,dropped_in_docs,FITNESS,4
CPT119132,,dropped_in_docs,PERMIT,3
CPT121130,,dropped_in_docs,RC,1
CPT105521,,dropped_in_docs,FITNESS,4
CPT118553,2026-01-11 17:56:08.915144804,approved,,5
CPT100120,,dropped_in_docs,INSURANCE,5
CPT109329,,dropped_in_docs,AADHAAR,2
CPT110737,,dropped_in_docs,PERMIT,3
CPT110217,,dropped_in_docs,AADHAAR,2
CPT120720,2026-01-12 10:31:22.452642664,approved,,6
CPT116873,,dropped_in_docs,AADHAAR,2
CPT101835,,dropped_in_docs,FITNESS,4
CPT109544,2026-01-12 04:37:53.336338968,approved,,6
CPT107072,,dropped_in_docs,RC,1
CPT123128,2026-01-08 05:48:11.128030471,approved,,5
CPT113323,,dropped_in_docs,RC,1
CPT110280,,dropped_in_docs,PERMIT,3
CPT101265,,dropped_in_docs,AADHAAR,2
CPT120925,,dropped_in_docs,RC,1
CPT104096,,dropped_in_docs,RC,1
CPT122563,2026-01-11 13:49:01.282240136,approved,,6
CPT121955,2026-01-11 18:12:29.502451369,approved,,6
CPT105643,,dropped_in_docs,INSURANCE,5
CPT108653,,dropped_in_docs,PERMIT,3
CPT105041,,dropped_in_docs,AADHAAR,2
CPT100561,2026-01-13 01:49:15.551240173,approved,,6
CPT110063,,dropped_in_docs,PERMIT,3
CPT108368,,dropped_in_docs,RC,1
CPT124870,,dropped_in_docs,RC,1
CPT101344,,dropped_in_docs,RC,1
CPT117273,,dropped_in_docs,INSURANCE,5
CPT102672,,dropped_in_docs,PERMIT,3
CPT104801,,dropped_in_docs,RC,1
CPT118484,2026-01-13 08:09:42.048571136,approved,,6
CPT121157,,dropped_in_docs,PERMIT,3
CPT104229,,dropped_in_docs,FITNESS,4
CPT107591,,dropped_in_docs,RC,1
CPT106130,,dropped_in_docs,AADHAAR,2
CPT108423,,dropped_in_docs,PERMIT,3
CPT118888,2026-01-13 15:58:25.325932132,rejected,background_check_failed,6
CPT100424,2026-01-10 17:49:34.345973571,approved,,6
CPT111108,,dropped_in_docs,PERMIT,3
CPT123408,,dropped_in_docs,FITNESS,4
CPT106840,,dropped_in_docs,RC,1
CPT113307,,dropped_in_docs,FITNESS,4
CPT101039,2026-01-08 21:17:25.691982783,approved,,5
CPT107762,,dropped_in_docs,INSURANCE,5
CPT103892,,dropped_in_docs,DL,0
CPT124359,,dropped_in_docs,RC,1
CPT103760,,dropped_in_docs,INSURANCE,5
CPT121263,,dropped_in_docs,INSURANCE,5
CPT102943,2026-01-12 22:09:50.309728752,approved,,6
CPT119122,,dropped_in_docs,FITNESS,4
CPT122799,,dropped_in_docs,RC,1
CPT100953,,dropped_in_docs,RC,1
CPT117296,,dropped_in_docs,RC,1
CPT121687,,dropped_in_docs,FITNESS,4
CPT109670,2026-01-10 02:11:16.836510626,approved,,6
CPT124331,,dropped_in_docs,AADHAAR,2
CPT106925,2026-01-11 08:42:48.704088078,approved,,6
CPT112260,,dropped_in_docs,FITNESS,4
CPT104153,,dropped_in_docs,INSURANCE,5
CPT123840,2026-01-09 01:54:18.944148259,approved,,5
CPT120677,,dropped_in_docs,RC,1
CPT102635,,dropped_in_docs,FITNESS,4
CPT119586,,dropped_in_docs,DL,0
CPT121644,,dropped_in_docs,FITNESS,4
CPT123721,2026-01-11 21:57:12.096939997,approved,,6
CPT112286,,dropped_in_docs,FITNESS,4
CPT107780,,dropped_in_docs,PERMIT,3
CPT102096,2026-01-09 21:33:04.026804246,approved,,6
CPT104195,,dropped_in_docs,DL,0
CPT102396,2026-01-13 11:53:41.029442343,approved,,6
CPT124595,,dropped_in_docs,RC,1
CPT112787,,dropped_in_docs,RC,1
CPT113482,,dropped_in_docs,RC,1
CPT103497,,dropped_in_docs,INSURANCE,5
CPT102052,,dropped_in_docs,INSURANCE,5
CPT118714,2026-01-15 05:59:39.768834918,approved,,6
CPT104879,,dropped_in_docs,FITNESS,4
CPT115956,,dropped_in_docs,FITNESS,4
CPT108975,,dropped_in_docs,RC,1
CPT122068,,dropped_in_docs,RC,1
CPT120968,,dropped_in_docs,RC,1
CPT114390,,dropped_in_docs,FITNESS,4
CPT116876,,dropped_in_docs,FITNESS,4
CPT106064,,dropped_in_docs,PERMIT,3
CPT111760,,dropped_in_docs,RC,1
CPT110497,,dropped_in_docs,AADHAAR,2
CPT122289,,dropped_in_docs,AADHAAR,2
CPT117554,,dropped_in_docs,INSURANCE,5
CPT119324,,dropped_in_docs,RC,1
CPT123697,,dropped_in_docs,RC,1
CPT101631,2026-01-12 15:12:12.062654931,approved,,6
CPT122347,,dropped_in_docs,FITNESS,4
CPT121380,,dropped_in_docs,AADHAAR,2
CPT103451,2026-01-09 09:24:17.040066104,approved,,6
CPT113949,,dropped_in_docs,INSURANCE,5
CPT119192,,dropped_in_docs,INSURANCE,5
CPT121569,,dropped_in_docs,AADHAAR,2
CPT121329,2026-01-13 11:55:59.384245730,approved,,6
CPT116741,,dropped_in_docs,DL,0
CPT102206,,dropped_in_docs,RC,1
CPT102757,,dropped_in_docs,RC,1
CPT108409,2026-01-15 10:08:43.626551628,approved,,5
CPT109866,,dropped_in_docs,PERMIT,3
CPT100964,,dropped_in_docs,AADHAAR,2
CPT118172,,dropped_in_docs,RC,1
CPT124687,2026-01-11 08:01:00.912016212,approved,,6
CPT115495,2026-01-11 03:18:22.379989231,approved,,6
CPT114451,,dropped_in_docs,DL,0
CPT111782,,dropped_in_docs,PERMIT,3
CPT120413,,dropped_in_docs,PERMIT,3
CPT115650,,dropped_in_docs,PERMIT,3
CPT121720,,dropped_in_docs,AADHAAR,2
CPT115613,2026-01-10 07:35:01.633570867,approved,,6
CPT110162,,dropped_in_docs,FITNESS,4
CPT118057,2026-01-13 11:00:59.837010316,approved,,6
CPT113024,,dropped_in_docs,PERMIT,3
CPT120174,,dropped_in_docs,RC,1
CPT118357,2026-01-12 17:27:07.406506821,approved,,5
CPT120947,,dropped_in_docs,RC,1
CPT110983,,dropped_in_docs,RC,1
CPT111585,,dropped_in_docs,DL,0
CPT120213,,dropped_in_docs,INSURANCE,5
CPT112686,,dropped_in_docs,PERMIT,3
CPT108460,2026-01-14 16:21:50.169636522,approved,,6
CPT121365,,dropped_in_docs,RC,1
CPT107472,,dropped_in_docs,FITNESS,4
CPT101387,,dropped_in_docs,RC,1
CPT102376,,dropped_in_docs,PERMIT,3
CPT118540,,dropped_in_docs,RC,1
CPT118367,,dropped_in_docs,DL,0
CPT124404,,dropped_in_docs,FITNESS,4
CPT114770,,dropped_in_docs,RC,1
CPT108147,2026-01-11 09:42:27.359805039,rejected,duplicate_captain,6
CPT102527,,dropped_in_docs,PERMIT,3
CPT109538,2026-01-10 05:43:43.994352313,approved,,6
CPT112324,,dropped_in_docs,RC,1
CPT117525,2026-01-13 19:58:29.469745447,rejected,background_check_failed,6
CPT114640,,dropped_in_docs,FITNESS,4
CPT100596,,dropped_in_docs,INSURANCE,5
CPT112591,,dropped_in_docs,RC,1
CPT115293,2026-01-14 15:29:01.901782888,approved,,6
CPT120032,,dropped_in_docs,RC,1
CPT120929,,dropped_in_docs,DL,0
CPT109911,,dropped_in_docs,RC,1
CPT111650,,dropped_in_docs,DL,0
CPT115104,2026-01-12 02:20:17.684957017,approved,,6
CPT101548,,dropped_in_docs,RC,1
CPT110567,,dropped_in_docs,INSURANCE,5
CPT111851,2026-01-10 13:29:18.638108429,approved,,5
CPT115865,,dropped_in_docs,PERMIT,3
CPT105651,,dropped_in_docs,RC,1
CPT104068,2026-01-12 00:46:32.977842271,approved,,6
CPT114345,2026-01-11 03:19:58.888893856,approved,,5
CPT113103,,dropped_in_docs,RC,1
CPT102795,,dropped_in_docs,PERMIT,3
CPT113569,2026-01-12 22:08:11.694664728,approved,,6
CPT119270,,dropped_in_docs,DL,0
CPT100196,,dropped_in_docs,INSURANCE,5
CPT121664,,dropped_in_docs,FITNESS,4
CPT122194,,dropped_in_docs,RC,1
CPT111685,,dropped_in_docs,AADHAAR,2
CPT100187,,dropped_in_docs,DL,0
CPT108066,,dropped_in_docs,RC,1
CPT103097,,dropped_in_docs,DL,0
CPT112287,2026-01-13 02:29:13.390502968,approved,,6
CPT108267,2026-01-12 03:06:03.415673738,approved,,6
CPT118493,,dropped_in_docs,AADHAAR,2
CPT122730,,dropped_in_docs,DL,0
CPT108723,,dropped_in_docs,AADHAAR,2
CPT106887,,dropped_in_docs,INSURANCE,5
CPT104402,,dropped_in_docs,FITNESS,4
CPT108671,2026-01-11 13:32:24.112345690,approved,,5
CPT102323,2026-01-11 22:59:50.639425409,approved,,6
CPT101985,,dropped_in_docs,PERMIT,3
CPT107071,,dropped_in_docs,INSURANCE,5
CPT111236,,dropped_in_docs,RC,1
CPT111574,,dropped_in_docs,DL,0
CPT112126,2026-01-13 02:03:12.168500299,approved,,6
CPT105184,,dropped_in_docs,PERMIT,3
CPT105131,,dropped_in_docs,RC,1
CPT114222,,dropped_in_docs,INSURANCE,5
CPT114172,,dropped_in_docs,PERMIT,3
CPT109576,2026-01-11 05:03:10.657047697,rejected,duplicate_captain,5
CPT107842,,dropped_in_docs,RC,1
CPT108866,,dropped_in_docs,PERMIT,3
CPT106416,,dropped_in_docs,PERMIT,3
CPT113794,,dropped_in_docs,FITNESS,4
CPT105856,,dropped_in_docs,RC,1
CPT104586,,dropped_in_docs,RC,1
CPT116309,,dropped_in_docs,INSURANCE,5
CPT102124,,dropped_in_docs,INSURANCE,5
CPT114025,,dropped_in_docs,RC,1
CPT108382,2026-01-12 16:30:10.496203491,approved,,6
CPT113424,2026-01-13 04:32:33.781496491,approved,,5
CPT124316,,dropped_in_docs,RC,1
CPT112721,,dropped_in_docs,AADHAAR,2
CPT120072,,dropped_in_docs,RC,1
CPT114200,,dropped_in_docs,DL,0
CPT106313,,dropped_in_docs,FITNESS,4
CPT106243,,dropped_in_docs,INSURANCE,5
CPT118122,,dropped_in_docs,RC,1
CPT117122,,dropped_in_docs,AADHAAR,2
CPT122396,,dropped_in_docs,RC,1
CPT102271,,dropped_in_docs,RC,1
CPT115736,,dropped_in_docs,RC,1
CPT109179,,dropped_in_docs,FITNESS,4
CPT121755,,dropped_in_docs,FITNESS,4
CPT105743,2026-01-09 18:51:09.977195379,approved,,6
CPT113195,2026-01-12 17:23:47.763452398,approved,,5
CPT117722,,dropped_in_docs,PERMIT,3
CPT124188,,dropped_in_docs,FITNESS,4
CPT121856,,dropped_in_docs,RC,1
CPT115015,,dropped_in_docs,RC,1
CPT120710,,dropped_in_docs,PERMIT,3
CPT116849,,dropped_in_docs,DL,0
CPT118940,2026-01-14 20:53:27.829814677,approved,,6
CPT113231,,dropped_in_docs,PERMIT,3
CPT120685,,dropped_in_docs,RC,1
CPT123618,,dropped_in_docs,RC,1
CPT119260,2026-01-12 16:50:27.744786900,approved,,6
CPT110239,,dropped_in_docs,RC,1
CPT122361,,dropped_in_docs,RC,1
