event_id,captain_id,doc_type,attempt_no,event_type,event_ts,failure_reason
EV000000100,CPT110674,DL,1,upload_success,2026-01-01 17:22:50.468156904,
EV000000101,CPT110674,DL,1,verification_pass,2026-01-02 00:54:28.219859046,
EV000000102,CPT110674,RC,1,upload_success,2026-01-02 13:10:05.584917790,
EV000000103,CPT110674,RC,1,verification_pass,2026-01-03 06:24:15.380378439,
EV000000104,CPT110674,AADHAAR,1,upload_success,2026-01-03 19:22:56.337118298,
EV000000105,CPT110674,AADHAAR,1,verification_pass,2026-01-03 21:28:40.108961612,
EV000000106,CPT110674,FITNESS,1,upload_success,2026-01-04 10:49:26.918407583,
EV000000107,CPT110674,FITNESS,1,verification_pass,2026-01-04 19:22:45.680207158,
EV000000108,CPT122382,DL,1,upload_success,2026-01-02 21:51:39.649172445,
EV000000109,CPT122382,DL,1,verification_pass,2026-01-03 07:55:39.542407194,
EV000000110,CPT122382,RC,1,upload_success,2026-01-03 18:45:02.720634413,
EV000000111,CPT122382,RC,1,verification_fail,2026-01-03 20:00:20.952638623,image_blurred
EV000000112,CPT122382,RC,2,upload_success,2026-01-04 01:17:54.888640100,
EV000000113,CPT122382,RC,2,verification_pass,2026-01-04 05:17:10.605997778,
EV000000114,CPT112371,DL,1,upload_success,2026-01-02 03:48:39.136348404,
EV000000115,CPT112371,DL,1,verification_fail,2026-01-02 07:15:11.962548620,wrong_document_type
EV000000116,CPT112371,DL,2,upload_success,2026-01-02 20:42:37.591487882,
EV000000117,CPT112371,DL,2,verification_pass,2026-01-02 23:26:14.084506780,
EV000000118,CPT112371,RC,1,upload_success,2026-01-03 13:43:34.030864382,
EV000000119,CPT112371,RC,1,verification_fail,2026-01-03 18:36:15.032930049,ocr_low_confidence
EV000000120,CPT115782,DL,1,upload_success,2026-01-02 16:09:26.899276925,
EV000000121,CPT115782,DL,1,verification_pass,2026-01-02 22:57:07.690186246,
EV000000122,CPT115782,RC,1,upload_success,2026-01-03 23:39:41.470086713,
EV000000123,CPT115782,RC,1,verification_pass,2026-01-04 13:35:49.730148659,
EV000000124,CPT115782,AADHAAR,1,upload_success,2026-01-05 01:19:03.460592089,
EV000000125,CPT115782,AADHAAR,1,verification_pass,2026-01-05 14:43:03.912997594,
EV000000126,CPT115782,FITNESS,1,upload_success,2026-01-05 23:38:47.787520053,
EV000000127,CPT115782,FITNESS,1,verification_pass,2026-01-06 02:06:27.405267008,
EV000000128,CPT115782,INSURANCE,1,upload_success,2026-01-06 18:18:33.711594067,
EV000000129,CPT115782,INSURANCE,1,verification_pass,2026-01-06 21:17:45.873238440,
EV000000130,CPT115990,DL,1,upload_success,2026-01-01 15:56:36.399666023,
EV000000131,CPT115990,DL,1,verification_pass,2026-01-02 00:04:28.717945245,
EV000000132,CPT115990,RC,1,upload_success,2026-01-02 03:23:37.191919492,
EV000000133,CPT115990,RC,1,verification_pass,2026-01-02 09:48:22.882790607,
EV000000134,CPT115990,AADHAAR,1,upload_success,2026-01-02 17:03:08.732617849,
EV000000135,CPT115990,AADHAAR,1,verification_pass,2026-01-02 23:37:59.849742840,
EV000000136,CPT117042,DL,1,upload_success,2026-01-02 01:44:52.772116189,
EV000000137,CPT117042,DL,1,verification_pass,2026-01-02 20:48:51.960388481,
EV000000138,CPT117042,RC,1,upload_success,2026-01-04 04:03:58.351442463,
EV000000139,CPT117042,RC,1,verification_fail,2026-01-04 07:31:07.252116609,name_mismatch
EV000000140,CPT124093,DL,1,upload_success,2026-01-02 01:07:35.140571099,
EV000000141,CPT124093,DL,1,verification_pass,2026-01-02 10:01:41.127199227,
EV000000142,CPT124093,RC,1,upload_success,2026-01-02 20:30:58.714082844,
EV000000143,CPT124093,RC,1,verification_fail,2026-01-02 21:21:52.845412202,wrong_document_type
EV000000144,CPT124093,RC,2,upload_success,2026-01-03 08:09:32.199310960,
EV000000145,CPT124093,RC,2,verification_pass,2026-01-03 10:04:22.066583588,
EV000000146,CPT124093,AADHAAR,1,upload_success,2026-01-03 20:52:17.888511074,
EV000000147,CPT124093,AADHAAR,1,verification_pass,2026-01-04 02:31:29.743731239,
EV000000148,CPT124093,PERMIT,1,upload_success,2026-01-04 13:59:41.263372686,
EV000000149,CPT124093,PERMIT,1,verification_pass,2026-01-05 01:09:24.275992795,
EV000000150,CPT124093,FITNESS,1,upload_success,2026-01-05 10:56:39.706264961,
EV000000151,CPT124093,FITNESS,1,verification_pass,2026-01-05 20:32:08.692835029,
EV000000152,CPT124093,INSURANCE,1,upload_success,2026-01-06 11:36:13.055092348,
EV000000153,CPT124093,INSURANCE,1,verification_pass,2026-01-06 20:08:49.275771711,
EV000000154,CPT108545,DL,1,upload_success,2026-01-01 16:36:48.841332889,
EV000000155,CPT108545,DL,1,verification_pass,2026-01-02 11:37:54.480785428,
EV000000156,CPT108545,RC,1,upload_success,2026-01-03 09:08:59.430675042,
EV000000157,CPT108545,RC,1,verification_pass,2026-01-03 12:07:02.123201364,
EV000000158,CPT108545,AADHAAR,1,upload_success,2026-01-05 02:19:40.821518761,
EV000000159,CPT108545,AADHAAR,1,verification_pass,2026-01-05 05:54:03.979309130,
EV000000160,CPT108545,PERMIT,1,upload_success,2026-01-05 08:59:35.382830680,
EV000000161,CPT108545,PERMIT,1,verification_pass,2026-01-05 16:38:31.325919380,
EV000000162,CPT118819,DL,1,upload_success,2026-01-02 05:31:09.236151542,
EV000000163,CPT118819,DL,1,verification_pass,2026-01-03 00:00:03.569962004,
EV000000164,CPT118819,RC,1,upload_success,2026-01-03 18:10:58.819991960,
EV000000165,CPT118819,RC,1,verification_fail,2026-01-03 21:19:33.575340908,ocr_low_confidence
EV000000166,CPT118819,RC,2,upload_success,2026-01-04 12:28:03.919053356,
EV000000167,CPT118819,RC,2,verification_fail,2026-01-04 17:03:46.804118814,ocr_low_confidence
EV000000168,CPT118819,RC,3,upload_success,2026-01-04 21:01:40.264769210,
EV000000169,CPT118819,RC,3,verification_fail,2026-01-04 22:34:06.332613615,document_expired
EV000000170,CPT117473,DL,1,upload_success,2026-01-02 02:46:14.599516405,
EV000000171,CPT117473,DL,1,verification_pass,2026-01-02 15:23:44.662012842,
EV000000172,CPT117473,RC,1,upload_success,2026-01-03 05:04:56.180556350,
EV000000173,CPT117473,RC,1,verification_pass,2026-01-04 01:33:15.920110744,
EV000000174,CPT117473,AADHAAR,1,upload_success,2026-01-04 13:12:00.709289735,
EV000000175,CPT117473,AADHAAR,1,verification_fail,2026-01-05 00:46:56.327677974,image_blurred
EV000000176,CPT117473,AADHAAR,2,upload_success,2026-01-05 04:28:13.934777102,
EV000000177,CPT117473,AADHAAR,2,verification_pass,2026-01-05 09:19:44.797332988,
EV000000178,CPT117473,PERMIT,1,upload_success,2026-01-06 00:13:15.292477396,
EV000000179,CPT117473,PERMIT,1,verification_pass,2026-01-06 05:49:14.532901014,
EV000000180,CPT122490,DL,1,upload_success,2026-01-01 19:10:58.754803571,
EV000000181,CPT122490,DL,1,verification_fail,2026-01-01 23:55:12.365735970,ocr_low_confidence
EV000000182,CPT122490,DL,2,upload_success,2026-01-02 04:16:25.024302263,
EV000000183,CPT122490,DL,2,verification_pass,2026-01-03 01:12:47.211441858,
EV000000184,CPT122490,RC,1,upload_success,2026-01-03 05:27:16.992450546,
EV000000185,CPT122490,RC,1,verification_pass,2026-01-03 09:36:38.292811588,
EV000000186,CPT122490,AADHAAR,1,upload_success,2026-01-04 00:23:24.861655824,
EV000000187,CPT122490,AADHAAR,1,verification_pass,2026-01-04 09:31:49.711563755,
EV000000188,CPT122490,PERMIT,1,upload_success,2026-01-05 08:02:42.661125085,
EV000000189,CPT122490,PERMIT,1,verification_pass,2026-01-05 18:28:22.899671064,
EV000000190,CPT122490,FITNESS,1,upload_success,2026-01-06 02:54:23.057443726,
EV000000191,CPT122490,FITNESS,1,verification_fail,2026-01-06 06:09:34.702610186,duplicate_document
EV000000192,CPT122490,FITNESS,2,upload_success,2026-01-07 00:45:00.670799303,
EV000000193,CPT122490,FITNESS,2,verification_fail,2026-01-07 12:18:10.186010067,image_blurred
EV000000194,CPT108728,DL,1,upload_success,2026-01-02 04:56:09.545453849,
EV000000195,CPT108728,DL,1,verification_pass,2026-01-02 06:53:11.886519287,
EV000000196,CPT108728,RC,1,upload_success,2026-01-03 15:21:43.325850255,
EV000000197,CPT108728,RC,1,verification_pass,2026-01-04 08:57:39.180803692,
EV000000198,CPT108728,AADHAAR,1,upload_success,2026-01-05 00:21:04.203986894,
EV000000199,CPT108728,AADHAAR,1,verification_pass,2026-01-05 14:56:28.437106064,
EV000000200,CPT108728,FITNESS,1,upload_success,2026-01-06 02:07:12.478597525,
EV000000201,CPT108728,FITNESS,1,verification_pass,2026-01-06 15:33:51.432476592,
EV000000202,CPT104874,DL,1,upload_success,2026-01-02 00:43:53.027104315,
EV000000203,CPT104874,DL,1,verification_pass,2026-01-02 05:48:52.628511571,
EV000000204,CPT121214,DL,1,upload_success,2026-01-01 21:03:55.664367936,
EV000000205,CPT121214,DL,1,verification_pass,2026-01-02 08:40:32.853669718,
EV000000206,CPT121214,RC,1,upload_success,2026-01-02 13:06:31.060901357,
EV000000207,CPT121214,RC,1,verification_pass,2026-01-03 10:58:37.048175944,
EV000000208,CPT121214,AADHAAR,1,upload_success,2026-01-03 18:31:10.552400193,
EV000000209,CPT121214,AADHAAR,1,verification_pass,2026-01-04 04:35:28.881002115,
EV000000210,CPT121214,PERMIT,1,upload_success,2026-01-04 16:32:19.593107598,
EV000000211,CPT121214,PERMIT,1,verification_pass,2026-01-04 19:25:36.078966688,
EV000000212,CPT121214,FITNESS,1,upload_success,2026-01-05 00:17:18.397228814,
EV000000213,CPT121214,FITNESS,1,verification_fail,2026-01-05 07:45:48.149232213,image_blurred
EV000000214,CPT119518,DL,1,upload_success,2026-01-01 20:59:56.826041107,
EV000000215,CPT119518,DL,1,verification_pass,2026-01-02 20:43:36.666743067,
EV000000216,CPT119518,RC,1,upload_success,2026-01-02 22:46:38.855207951,
EV000000217,CPT119518,RC,1,verification_fail,2026-01-03 01:40:22.384349052,duplicate_document
EV000000218,CPT104764,DL,1,upload_success,2026-01-02 11:28:23.747363732,
EV000000219,CPT104764,DL,1,verification_fail,2026-01-02 16:06:31.087710100,name_mismatch
EV000000220,CPT104764,DL,2,upload_success,2026-01-02 20:40:07.081854193,
EV000000221,CPT104764,DL,2,verification_pass,2026-01-03 00:10:35.654602948,
EV000000222,CPT104764,RC,1,upload_success,2026-01-03 03:36:11.335133243,
EV000000223,CPT104764,RC,1,verification_pass,2026-01-03 05:09:52.198717431,
EV000000224,CPT104764,AADHAAR,1,upload_success,2026-01-03 12:01:26.357494922,
EV000000225,CPT104764,AADHAAR,1,verification_pass,2026-01-03 17:44:15.460391480,
EV000000226,CPT101207,DL,1,upload_success,2026-01-02 03:43:18.309633965,
EV000000227,CPT101207,DL,1,verification_pass,2026-01-02 11:24:48.936339338,
EV000000228,CPT101207,RC,1,upload_success,2026-01-02 19:49:49.871940012,
EV000000229,CPT101207,RC,1,verification_fail,2026-01-02 23:42:55.903577155,ocr_low_confidence
EV000000230,CPT101207,RC,2,upload_success,2026-01-03 08:51:08.187407540,
EV000000231,CPT101207,RC,2,verification_pass,2026-01-03 19:45:37.340046481,
EV000000232,CPT101207,AADHAAR,1,upload_success,2026-01-03 23:49:15.651617951,
EV000000233,CPT101207,AADHAAR,1,verification_pass,2026-01-04 03:19:00.625059376,
EV000000234,CPT101207,FITNESS,1,upload_success,2026-01-04 04:52:46.111891954,
EV000000235,CPT101207,FITNESS,1,verification_pass,2026-01-04 19:58:03.416235400,
EV000000236,CPT101207,INSURANCE,1,upload_success,2026-01-05 08:18:35.941347736,
EV000000237,CPT101207,INSURANCE,1,verification_fail,2026-01-05 20:12:12.467620091,image_blurred
EV000000238,CPT101207,INSURANCE,2,upload_success,2026-01-06 05:40:11.669837294,
EV000000239,CPT101207,INSURANCE,2,verification_fail,2026-01-06 11:52:51.944938459,document_expired
EV000000240,CPT101207,INSURANCE,3,upload_success,2026-01-07 04:56:04.289788864,
EV000000241,CPT101207,INSURANCE,3,verification_pass,2026-01-07 09:02:00.190741982,
EV000000242,CPT103242,DL,1,upload_success,2026-01-01 19:01:34.318050310,
EV000000243,CPT103242,DL,1,verification_pass,2026-01-02 12:07:18.985642494,
EV000000244,CPT103242,RC,1,upload_success,2026-01-02 14:56:03.959650362,
EV000000245,CPT103242,RC,1,verification_fail,2026-01-02 22:07:50.288825711,ocr_low_confidence
EV000000246,CPT103242,RC,2,upload_success,2026-01-03 02:13:59.581189899,
EV000000247,CPT103242,RC,2,verification_fail,2026-01-03 02:28:37.364560713,image_blurred
EV000000248,CPT103242,RC,3,upload_success,2026-01-03 02:54:11.086365052,
EV000000249,CPT103242,RC,3,verification_pass,2026-01-03 06:09:18.861916191,
EV000000250,CPT103242,AADHAAR,1,upload_success,2026-01-03 11:02:13.693339019,
EV000000251,CPT103242,AADHAAR,1,verification_pass,2026-01-03 15:21:22.204784810,
EV000000252,CPT103242,PERMIT,1,upload_success,2026-01-03 20:21:38.101341855,
EV000000253,CPT103242,PERMIT,1,verification_pass,2026-01-04 09:57:49.942228858,
EV000000254,CPT103242,FITNESS,1,upload_success,2026-01-04 17:13:29.633803066,
EV000000255,CPT103242,FITNESS,1,verification_pass,2026-01-05 00:14:33.820043171,
EV000000256,CPT103242,INSURANCE,1,upload_success,2026-01-05 10:02:56.768111999,
EV000000257,CPT103242,INSURANCE,1,verification_pass,2026-01-05 11:49:12.100861546,
EV000000258,CPT116706,DL,1,upload_success,2026-01-01 17:00:14.088783318,
EV000000259,CPT116706,DL,1,verification_pass,2026-01-02 03:47:10.302291708,
EV000000260,CPT116706,RC,1,upload_success,2026-01-02 07:33:53.453404874,
EV000000261,CPT116706,RC,1,verification_pass,2026-01-02 16:14:34.519063010,
EV000000262,CPT116706,AADHAAR,1,upload_success,2026-01-03 10:17:32.884121522,
EV000000263,CPT116706,AADHAAR,1,verification_pass,2026-01-03 16:24:35.417768982,
EV000000264,CPT116706,PERMIT,1,upload_success,2026-01-04 11:52:31.629295210,
EV000000265,CPT116706,PERMIT,1,verification_pass,2026-01-04 14:35:06.120312948,
EV000000266,CPT116706,FITNESS,1,upload_success,2026-01-04 18:37:56.012934035,
EV000000267,CPT116706,FITNESS,1,verification_pass,2026-01-04 23:39:45.532307074,
EV000000268,CPT121842,DL,1,upload_success,2026-01-02 22:08:40.293443227,
EV000000269,CPT121842,DL,1,verification_pass,2026-01-03 02:41:46.109550064,
EV000000270,CPT121842,RC,1,upload_success,2026-01-03 10:04:33.381511614,
EV000000271,CPT121842,RC,1,verification_pass,2026-01-03 15:23:42.793877468,
EV000000272,CPT121842,AADHAAR,1,upload_success,2026-01-04 04:45:04.663857867,
EV000000273,CPT121842,AADHAAR,1,verification_pass,2026-01-04 06:42:22.579367157,
EV000000274,CPT121842,PERMIT,1,upload_success,2026-01-04 12:53:09.289482506,
EV000000275,CPT121842,PERMIT,1,verification_fail,2026-01-04 23:33:35.315191216,document_expired
EV000000276,CPT121842,PERMIT,2,upload_success,2026-01-05 20:25:06.950448396,
EV000000277,CPT121842,PERMIT,2,verification_pass,2026-01-06 03:05:20.497561312,
EV000000278,CPT121842,FITNESS,1,upload_success,2026-01-06 22:46:54.028258803,
EV000000279,CPT121842,FITNESS,1,verification_fail,2026-01-07 06:46:19.488295538,ocr_low_confidence
EV000000280,CPT121842,FITNESS,2,upload_success,2026-01-07 14:22:12.474857187,
EV000000281,CPT121842,FITNESS,2,verification_pass,2026-01-07 16:38:57.894211089,
EV000000282,CPT115555,DL,1,upload_success,2026-01-01 20:13:12.998272403,
EV000000283,CPT115555,DL,1,verification_fail,2026-01-02 00:08:04.064324059,name_mismatch
EV000000284,CPT115555,DL,2,upload_success,2026-01-02 09:33:40.511340777,
EV000000285,CPT115555,DL,2,verification_pass,2026-01-02 20:58:51.102448176,
EV000000286,CPT115555,RC,1,upload_success,2026-01-03 05:24:42.240130380,
EV000000287,CPT115555,RC,1,verification_pass,2026-01-03 07:38:39.702599006,
EV000000288,CPT115555,AADHAAR,1,upload_success,2026-01-03 21:59:09.167659064,
EV000000289,CPT115555,AADHAAR,1,verification_pass,2026-01-04 05:47:57.997285989,
EV000000290,CPT115555,PERMIT,1,upload_success,2026-01-04 14:57:28.916748715,
EV000000291,CPT115555,PERMIT,1,verification_pass,2026-01-04 19:54:54.103510563,
EV000000292,CPT115555,FITNESS,1,upload_success,2026-01-05 17:13:05.484208314,
EV000000293,CPT115555,FITNESS,1,verification_pass,2026-01-05 18:39:37.909884100,
EV000000294,CPT123806,DL,1,upload_success,2026-01-01 23:21:41.121933108,
EV000000295,CPT123806,DL,1,verification_pass,2026-01-02 03:07:45.985026709,
EV000000296,CPT103112,DL,1,upload_success,2026-01-01 20:43:33.080137010,
EV000000297,CPT103112,DL,1,verification_pass,2026-01-01 21:50:57.274979321,
EV000000298,CPT124911,DL,1,upload_success,2026-01-02 12:09:59.950612667,
EV000000299,CPT124911,DL,1,verification_pass,2026-01-02 19:31:46.730694555,
EV000000300,CPT124911,RC,1,upload_success,2026-01-03 09:42:48.971339193,
EV000000301,CPT124911,RC,1,verification_pass,2026-01-03 10:00:01.968281986,
EV000000302,CPT117151,DL,1,upload_success,2026-01-02 02:36:21.175123867,
EV000000303,CPT117151,DL,1,verification_pass,2026-01-02 14:15:47.330876099,
EV000000304,CPT117151,RC,1,upload_success,2026-01-02 19:22:51.418293508,
EV000000305,CPT117151,RC,1,verification_pass,2026-01-03 07:51:57.083277066,
EV000000306,CPT117151,AADHAAR,1,upload_success,2026-01-03 10:44:25.392075253,
EV000000307,CPT117151,AADHAAR,1,verification_fail,2026-01-03 21:00:00.844884250,image_blurred
EV000000308,CPT114694,DL,1,upload_success,2026-01-02 11:55:32.604884303,
EV000000309,CPT114694,DL,1,verification_pass,2026-01-02 14:18:33.290730890,
EV000000310,CPT114694,RC,1,upload_success,2026-01-02 20:13:31.490743187,
EV000000311,CPT114694,RC,1,verification_pass,2026-01-03 14:42:22.572408736,
EV000000312,CPT114694,AADHAAR,1,upload_success,2026-01-03 20:26:35.898277299,
EV000000313,CPT114694,AADHAAR,1,verification_pass,2026-01-03 22:56:34.387154936,
EV000000314,CPT114694,PERMIT,1,upload_success,2026-01-04 03:49:37.029838827,
EV000000315,CPT114694,PERMIT,1,verification_pass,2026-01-05 04:30:10.201347903,
EV000000316,CPT114694,FITNESS,1,upload_success,2026-01-05 08:09:33.726627801,
EV000000317,CPT114694,FITNESS,1,verification_pass,2026-01-05 18:22:57.276224887,
EV000000318,CPT114694,INSURANCE,1,upload_success,2026-01-06 05:15:58.914592656,
EV000000319,CPT114694,INSURANCE,1,verification_pass,2026-01-06 17:03:19.598170955,
EV000000320,CPT105361,DL,1,upload_success,2026-01-03 10:05:42.992175194,
EV000000321,CPT105361,DL,1,verification_pass,2026-01-03 11:38:36.644038478,
EV000000322,CPT105361,RC,1,upload_success,2026-01-03 14:40:21.566914508,
EV000000323,CPT105361,RC,1,verification_fail,2026-01-03 16:01:01.336896876,image_blurred
EV000000324,CPT105361,RC,2,upload_success,2026-01-04 02:55:42.734705714,
